,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10
0,29,Billing Philip,MD,13.0,15.0,5.57,5.81,5.57,28,8,28,1.09,1.19,1.09,6,2,6,0.93,1.0,0.93,2139,644,2139,76.39,80.5,76.39,357.0,357.0,6.5,2.17,6.5,0.0,0.0,1.0,1.0,4.0,13.0,0.7738,1108.0,27.0,31.0,55.65,26.0,0.0,0.0,7.0,6.25,5.722222222222222,6.0,4.5,7.0,7.5,4.0,5.5,5.5,6.5,0.0,5.0,4.0,5.0,5.0,6.0,6.5,5.5,4.5,5.5,6.5,7.0,5.5,7.0,4.5,7.0,4.5,5.0,3.5,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9
1,36,Xhaka Granit,MD,22.0,25.0,5.9,5.9,5.66,29,29,43,0.91,0.91,0.97,5,5,6,0.97,0.97,0.98,2386,2386,3619,82.28,82.28,84.16,477.0,603.0,6.5,4.4,12.5,0.0,0.0,0.0,5.0,5.0,12.0,0.8606,1645.0,13.0,21.0,53.3,20.0,0.0,0.0,4.75,6.125,5.9,7.0,7.0,5.5,5.0,5.5,5.5,5.5,4.5,6.5,7.0,5.5,6.0,7.0,5.0,6.0,6.0,7.0,4.5,5.5,5.0,7.0,7.0,7.0,4.5,4.5,5.0,6.5,6.5,6.5,4.5,4.5,6.0,4.5,7.0,6.0,4.5,5.0,6.0,4,10
2,37,Bentancur Rodrigo,MD,1.0,22.0,5.81,0.0,5.76,18,0,31,0.93,0.0,1.39,5,0,5,0.94,0.0,0.97,1504,0,2524,83.56,0.0,81.42,301.0,505.0,6.0,0.2,6.0,0.0,0.0,1.0,2.0,0.0,4.0,0.8472,1122.0,20.0,28.0,53.01,24.0,0.0,0.0,3.5,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,5.5,0.0,0.0,0.0,0.0,7.0,6.0,7.0,6.0,4.5,5.5,5.5,4.5,8.0,4.5,5.5,0.0,6.0,6.0,5.0,6.5,8.5,6.0,6.0,6.0,5.5,5.0,6.0,6.0,6.0,0,3
3,39,Rúben Neves,MD,24.0,26.0,5.61,5.58,5.54,28,19,36,1.16,1.23,1.2,5,4,6,1.0,1.0,1.0,2485,1675,3082,88.75,88.16,85.61,497.0,514.0,6.0,4.8,6.0,2.0,0.0,2.0,0.0,1.0,10.0,0.8433,2144.0,41.0,36.0,53.21,28.0,0.0,0.0,5.0,5.625,5.9,5.0,6.0,5.5,6.0,5.5,6.0,6.5,8.0,3.5,7.0,6.0,4.0,5.5,4.5,6.0,7.0,3.0,5.0,6.0,0.0,4.0,4.5,5.0,6.0,6.0,7.5,6.5,5.5,6.0,4.5,5.0,5.0,4.5,0.0,4.0,0.0,0.0,4.5,4,10
4,40,Jensen Mathias,MD,19.0,19.0,5.48,5.48,5.38,28,28,38,1.13,1.13,1.04,5,5,5,1.0,1.0,0.87,2171,2171,2647,77.54,77.54,69.66,434.0,529.0,7.0,3.8,6.5,0.0,0.0,0.0,5.0,3.0,22.0,0.7452,1504.0,27.0,27.0,44.68,24.0,0.0,0.0,6.25,6.25,6.055555555555555,6.0,7.0,5.0,7.0,0.0,5.5,5.0,7.0,5.0,7.0,6.0,5.0,4.5,5.0,6.0,5.0,3.0,5.0,5.5,3.0,6.0,4.0,6.0,6.0,5.0,5.5,5.5,8.0,5.0,5.0,6.5,6.0,4.5,5.0,5.0,4.5,4.5,5.0,4,9
5,46,Gündogan Ilkay,MD,27.0,30.0,5.96,6.06,6.09,25,8,33,0.93,0.86,0.89,4,2,7,0.84,0.88,0.79,1848,601,2363,73.92,75.13,71.61,462.0,338.0,7.0,6.75,10.0,0.0,0.0,0.0,3.0,5.0,13.0,0.8613,1321.0,15.0,15.0,46.94,18.0,0.0,0.0,5.5,6.333333333333333,6.0625,7.0,0.0,6.0,6.0,5.0,5.5,7.0,5.0,7.0,0.0,6.0,5.0,5.0,4.5,7.0,5.5,0.0,6.0,6.0,0.0,5.5,5.0,5.0,5.5,8.0,6.5,7.0,7.5,5.5,7.0,0.0,6.0,7.0,5.5,6.5,0.0,7.0,6.0,3,8
6,47,Højbjerg Pierre-Emile,MD,29.0,38.0,5.86,5.81,6.01,28,16,41,1.25,1.3,1.14,4,1,4,1.0,1.0,1.0,2503,1438,3673,89.39,89.88,89.59,626.0,918.0,5.5,7.25,9.0,0.0,0.0,1.0,3.0,3.0,5.0,0.8881,2291.0,42.0,23.0,54.03,29.0,0.0,0.0,6.17,5.25,5.9,5.5,5.0,5.5,5.0,7.0,7.0,4.0,7.0,7.0,6.0,8.0,4.0,7.0,3.5,5.5,6.0,0.0,4.5,5.5,6.5,4.5,8.0,4.0,6.5,5.5,7.0,6.0,7.5,5.5,7.5,6.0,6.0,6.0,6.0,5.0,7.5,5.5,6.0,4,10
7,69,Partey Thomas,MD,21.0,25.0,5.92,5.9,5.81,24,5,29,0.88,0.74,1.04,3,1,4,0.92,0.8,0.93,1924,336,2358,80.17,67.2,81.31,641.0,590.0,6.0,7.0,11.5,0.0,0.0,2.0,0.0,1.0,9.0,0.8567,1850.0,23.0,31.0,57.71,25.0,0.0,0.0,5.5,6.125,5.833333333333333,5.5,6.0,7.0,6.0,5.0,0.0,6.0,4.5,5.5,7.0,5.5,5.5,5.5,5.0,6.5,8.0,5.0,0.0,6.0,6.0,8.0,5.5,6.0,0.0,0.0,0.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4,9
8,72,Bruno Guimarães,MD,16.0,24.0,5.81,5.5,5.59,21,4,33,1.07,1.15,1.9,3,0,7,1.0,1.0,0.97,1763,360,2598,83.95,90.0,78.73,588.0,371.0,6.5,5.33,9.5,0.0,0.0,2.0,3.0,2.0,10.0,0.8327,1346.0,24.0,25.0,56.75,28.0,0.0,0.0,6.0,5.5,5.333333333333333,6.5,6.5,4.5,4.5,0.0,0.0,0.0,0.0,4.5,5.5,5.5,4.5,7.0,5.0,6.5,7.0,5.0,6.0,6.0,8.0,7.0,4.5,0.0,0.0,0.0,0.0,5.0,6.0,7.0,6.0,8.0,3.0,5.5,8.0,8.0,7.0,5.5,7.0,4,6
9,73,João Palhinha,MD,17.0,21.0,5.8,5.0,5.8,25,1,25,0.87,0.0,0.87,3,0,3,1.0,1.0,1.0,2226,88,2226,89.04,88.0,89.04,742.0,742.0,6.5,5.67,7.5,0.0,0.0,1.0,0.0,0.0,3.0,0.8044,1261.0,34.0,58.0,62.58,29.0,0.0,0.0,5.5,5.0,5.642857142857143,5.0,0.0,0.0,0.0,6.0,6.0,6.5,6.5,4.0,5.5,7.0,7.5,6.0,5.5,5.0,6.0,5.5,6.5,5.5,4.0,0.0,7.0,6.0,5.5,6.5,5.0,6.5,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7
10,75,Gabriel Magalhães,DC,24.0,29.0,5.62,5.62,5.52,29,29,43,0.79,0.79,0.85,3,3,5,1.0,1.0,1.0,2606,2606,3835,89.86,89.86,89.19,869.0,767.0,6.0,8.0,12.5,0.0,0.0,0.0,0.0,0.0,2.0,0.8898,2186.0,24.0,23.0,62.78,16.0,0.0,0.0,4.75,5.875,5.55,6.0,5.5,7.0,5.0,6.0,5.0,5.5,5.0,5.0,5.5,5.5,5.0,6.0,6.0,7.0,6.0,6.0,4.0,7.0,5.5,5.0,6.0,6.0,3.5,6.0,6.0,6.0,5.0,6.0,7.0,4.5,5.5,7.0,6.0,5.5,4.0,4.5,5.5,4,10
11,77,Douglas Luiz,MD,16.0,17.0,5.57,5.61,5.45,28,27,40,1.11,1.11,1.07,3,3,4,0.86,0.89,0.85,2130,2122,3037,76.07,78.59,75.93,710.0,759.0,6.5,5.33,9.0,0.0,0.0,1.0,5.0,4.0,12.0,0.866,1677.0,33.0,28.0,52.47,37.0,0.0,0.0,5.5,6.25,5.85,6.5,7.5,5.5,5.5,5.0,5.5,5.5,5.0,6.5,6.0,4.0,8.0,5.0,5.5,5.5,3.5,8.0,4.0,4.5,5.5,6.5,5.5,5.5,5.0,6.5,4.5,6.0,0.0,4.5,4.0,5.0,5.0,5.0,5.0,6.5,4.0,4.5,5.5,4,10
12,80,Janelt Vitaly,MD,12.0,14.0,5.46,0.0,5.5,26,0,35,0.71,0.0,0.85,3,0,5,0.65,0.0,0.71,1581,0,2248,60.81,0.0,64.23,527.0,450.0,6.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,5.0,0.7566,941.0,19.0,23.0,58.02,15.0,0.0,0.0,4.75,5.0,5.071428571428571,0.0,0.0,5.0,5.0,0.0,6.0,5.0,5.0,4.5,5.0,5.5,5.5,6.0,5.5,5.0,5.5,4.0,5.5,6.5,4.5,6.0,5.0,5.5,7.0,6.5,6.5,5.0,5.5,6.0,6.0,5.5,0.0,4.0,6.0,5.0,6.0,8.0,4.0,2,7
13,84,Lerma Jefferson,MD,14.0,14.0,5.32,6.0,5.32,28,3,28,1.16,1.0,1.16,3,0,3,1.0,1.0,1.0,2460,261,2460,87.86,87.0,87.86,820.0,820.0,5.5,4.67,4.0,0.0,0.0,0.0,0.0,3.0,8.0,0.8058,1477.0,32.0,22.0,59.73,26.0,0.0,0.0,6.0,6.0,5.833333333333333,6.0,5.0,7.0,0.0,5.5,5.5,6.5,6.0,6.0,5.0,4.5,4.5,4.0,6.0,6.0,4.5,4.5,4.5,6.0,6.0,6.0,5.0,6.0,5.5,7.0,2.5,4.5,2.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9
