,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value
10,85,Partey Thomas,MD,21.0,24.0,5.83,5.63,5.73,27,8,28,0.91,0.88,1.04,3,1,3,0.93,0.88,0.93,2171,583,2245,80.41,72.88,80.18,724.0,748.0,6.0,7.0,11.5,0.0,0.0,2.0,0.0,1.0,9.0,0.8571,2055.0,26.0,38.0,57.38,31.0,0.0,0.0,0.0,5.25,5.666666666666667,5.5,4.0,6.0,5.5,6.0,7.0,6.0,5.0,0.0,6.0,4.5,5.5,7.0,5.5,5.5,5.5,5.0,6.5,8.0,5.0,0.0,6.0,6.0,8.0,5.5,6.0,0.0,0.0,0.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,20.96889130104994,-0.031108698950060187
11,87,João Palhinha,MD,17.0,23.0,5.71,5.0,5.71,28,4,28,0.87,0.41,0.87,3,0,3,1.0,1.0,1.0,2496,358,2496,89.14,89.5,89.14,832.0,832.0,6.5,5.67,7.5,0.0,0.0,1.0,0.0,0.0,4.0,0.8089,1449.0,36.0,64.0,60.94,33.0,0.0,0.0,5.5,5.0,5.5,5.0,5.5,4.5,5.0,0.0,0.0,0.0,6.0,6.0,6.5,6.5,4.0,5.5,7.0,7.5,6.0,5.5,5.0,6.0,5.5,6.5,5.5,4.0,0.0,7.0,6.0,5.5,6.5,5.0,6.5,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,4,7,16.634517870034575,-0.3654821299654252
12,89,Gabriel Magalhães,DC,24.0,28.0,5.58,5.58,5.55,32,32,42,0.77,0.77,0.82,3,3,5,1.0,1.0,1.0,2876,2876,3745,89.88,89.88,89.17,959.0,749.0,6.0,8.0,12.5,0.0,0.0,0.0,0.0,0.0,2.0,0.8909,2420.0,28.0,28.0,63.24,19.0,0.0,0.0,4.0,5.375,5.55,4.5,5.5,5.5,6.0,5.5,7.0,5.0,6.0,5.0,5.5,5.0,5.0,5.5,5.5,5.0,6.0,6.0,7.0,6.0,6.0,4.0,7.0,5.5,5.0,6.0,6.0,3.5,6.0,6.0,6.0,5.0,6.0,7.0,4.5,5.5,7.0,6.0,5.5,4,10,23.41665343849652,-0.583346561503479
13,91,Janelt Vitaly,MD,12.0,14.0,5.41,5.0,5.49,29,3,36,0.68,0.0,0.81,3,0,5,0.62,0.33,0.67,1695,114,2216,58.45,38.0,61.56,565.0,443.0,6.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,6.0,0.7586,999.0,20.0,24.0,57.31,17.0,0.0,0.0,6.75,5.0,5.142857142857143,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,6.0,5.0,5.0,4.5,5.0,5.5,5.5,6.0,5.5,5.0,5.5,4.0,5.5,6.5,4.5,6.0,5.0,5.5,7.0,6.5,6.5,5.0,5.5,6.0,6.0,5.5,0.0,4.0,6.0,5.0,3,7,15.923733583404205,3.9237335834042053
14,95,van Dijk Virgil,DC,18.0,23.0,5.29,5.19,5.39,26,8,33,1.18,0.96,1.07,3,0,3,1.0,1.0,1.0,2295,720,2925,88.27,90.0,88.64,765.0,975.0,7.5,6.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8967,2317.0,26.0,13.0,67.14,10.0,0.0,0.0,4.0,4.75,5.1875,5.5,6.0,4.0,3.5,0.0,5.0,6.0,5.5,6.0,0.0,0.0,0.0,0.0,4.0,5.5,7.5,5.5,5.5,4.0,5.0,6.0,6.0,4.0,3.5,0.0,7.5,6.0,5.0,7.5,4.0,5.5,4.0,0.0,0.0,6.0,6.0,6.0,6.0,4,8,15.670011959948983,-2.329988040051017
15,96,Lerma Jefferson,MD,14.0,15.0,5.29,5.5,5.29,31,6,31,1.12,1.0,1.12,3,0,3,1.0,1.0,1.0,2715,516,2715,87.58,86.0,87.58,905.0,905.0,5.5,4.67,5.0,0.0,0.0,0.0,0.0,3.0,8.0,0.8075,1659.0,36.0,23.0,58.16,30.0,0.0,0.0,4.5,5.25,5.611111111111111,4.0,5.5,5.5,6.0,5.0,7.0,0.0,5.5,5.5,6.5,6.0,6.0,5.0,4.5,4.5,4.0,6.0,6.0,4.5,4.5,4.5,6.0,6.0,6.0,5.0,6.0,5.5,7.0,2.5,4.5,2.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,13.932091009747282,-0.06790899025271813
16,100,Reed Harrison,MD,13.0,17.0,5.18,5.13,5.18,30,15,30,0.97,0.99,0.97,3,1,3,1.0,1.0,1.0,2416,1171,2416,80.53,78.07,80.53,805.0,805.0,6.5,4.33,7.5,0.0,0.0,0.0,2.0,1.0,11.0,0.7867,1367.0,17.0,22.0,41.78,31.0,0.0,0.0,5.0,5.375,5.111111111111111,5.5,7.0,3.5,5.5,0.0,3.5,4.5,5.5,5.0,6.0,5.0,4.5,5.5,6.0,4.0,6.0,0.0,5.5,5.5,7.0,7.0,5.0,4.5,3.5,6.5,5.0,4.5,4.5,4.5,5.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,13.450491441848687,0.45049144184868695
17,101,Mee Ben,DC,16.0,21.0,5.16,5.26,5.16,31,19,31,1.05,0.92,1.05,3,2,3,1.0,1.0,1.0,2732,1702,2732,88.13,89.58,88.13,911.0,911.0,7.0,5.33,7.5,0.0,0.0,0.0,0.0,0.0,2.0,0.7291,1778.0,43.0,20.0,64.75,12.0,0.0,0.0,6.0,4.625,4.85,5.5,4.0,4.0,5.0,5.0,4.5,5.0,5.0,5.0,5.5,7.5,5.0,6.0,5.5,6.0,4.0,5.5,5.0,7.0,0.0,6.0,6.0,3.5,5.5,3.0,6.0,5.5,4.5,5.5,3.5,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,14.350325162244573,-1.649674837755427
18,108,Rodri,MD,31.0,37.0,6.33,6.31,6.46,29,21,38,0.79,0.89,0.85,2,2,6,1.0,1.0,1.0,2460,1785,3243,84.83,85.0,85.34,1230.0,541.0,6.5,15.5,11.0,0.0,0.0,0.0,6.0,8.0,6.0,0.9146,2894.0,28.0,36.0,59.32,39.0,0.0,0.0,6.75,5.666666666666667,6.3125,0.0,5.5,5.5,6.0,0.0,7.0,7.0,5.5,6.0,8.0,4.5,6.5,6.0,6.0,5.5,7.0,5.5,7.0,6.0,6.0,7.0,7.0,8.0,0.0,7.0,7.0,6.0,6.0,5.5,6.5,6.5,6.5,6.5,7.0,8.0,8.0,7.0,7.5,3,8,27.836867990037028,-3.163132009962972
19,109,Casemiro,MD,15.0,24.0,5.63,6.0,5.67,20,1,27,1.27,0.0,1.18,2,0,3,0.8,1.0,0.81,1429,90,1858,71.45,90.0,68.81,715.0,619.0,7.0,7.5,8.5,0.0,0.0,0.0,3.0,6.0,8.0,0.7633,1234.0,27.0,30.0,58.06,36.0,0.0,0.0,0.0,6.0,4.333333333333333,0.0,6.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,4.5,0.0,6.5,7.0,5.5,8.0,6.0,4.0,6.0,7.5,6.5,5.0,7.0,4.5,0.0,6.0,5.0,5.5,5.0,0.0,0.0,0.0,4.5,7.0,0.0,5.5,5.5,0.0,1,3,10.077542630368077,-4.922457369631923
20,111,Saliba William,DC,13.0,20.0,5.48,0.0,5.41,27,0,35,0.9,0.0,0.99,2,0,2,1.0,0.0,1.0,2416,0,3136,89.48,0.0,89.6,1208.0,1568.0,7.5,6.5,11.5,0.0,0.0,0.0,1.0,1.0,2.0,0.9073,2093.0,19.0,20.0,60.34,19.0,0.0,0.0,3.5,0.0,5.4,0.0,0.0,0.0,0.0,0.0,6.5,5.5,5.5,5.5,4.0,5.0,5.5,6.0,5.5,5.0,5.0,5.5,6.0,6.0,5.5,3.5,5.5,5.0,6.0,7.5,5.5,4.0,5.0,6.0,7.5,4.5,6.0,0.0,3.5,6.0,3.5,7.0,6.0,0,5,15.425768274666023,2.425768274666023
21,113,Pinnock Ethan,DC,16.0,16.0,5.46,5.41,5.44,24,23,27,1.08,1.08,1.03,2,2,2,1.0,1.0,1.0,2160,2070,2361,90.0,90.0,87.44,1080.0,1181.0,6.5,8.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.7527,1250.0,29.0,25.0,71.5,6.0,0.0,0.0,5.5,5.5,5.55,6.0,4.5,5.0,6.5,5.5,5.0,6.5,5.5,5.0,6.0,6.0,5.5,5.5,6.5,7.0,5.5,6.0,5.0,4.5,3.5,6.0,6.0,2.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4,10,15.885949805413144,-0.11405019458685572
22,114,Zouma Kurt,DC,11.0,11.0,5.43,5.75,5.32,22,6,28,1.04,1.13,1.03,2,0,2,0.95,0.83,0.96,1836,471,2315,83.45,78.5,82.68,918.0,1158.0,3.0,5.5,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8184,993.0,22.0,4.0,69.07,12.0,0.0,0.0,5.0,6.125,5.75,7.0,4.5,7.0,6.0,0.0,5.5,4.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,4.5,5.5,7.0,5.0,0.0,5.5,6.0,5.0,3.0,4.5,5.5,6.5,4.5,5.5,5.0,4.0,5.0,6.0,3.5,0.0,0.0,4,6,13.205131279447345,2.205131279447345
23,115,White Ben,DC,16.0,18.0,5.34,5.34,5.18,32,32,38,0.79,0.79,0.83,2,2,2,0.94,0.94,0.95,2527,2527,3067,78.97,78.97,80.71,1264.0,1534.0,6.0,8.0,14.5,0.0,0.0,0.0,5.0,6.0,13.0,0.8306,2203.0,19.0,30.0,53.74,21.0,0.0,0.0,5.0,5.25,5.3,4.5,5.5,5.0,6.0,6.0,5.0,6.5,5.0,4.5,5.0,4.0,5.0,6.0,5.0,6.0,7.0,5.5,5.0,6.0,6.0,5.0,4.5,4.5,6.5,5.5,6.0,3.5,5.5,5.0,6.0,4.5,6.0,0.0,4.0,0.0,0.0,5.0,4.5,4,10,15.188489509524164,-0.8115104904758361
24,116,Schlupp Jeffrey,DL,15.0,16.0,5.31,5.83,5.4,31,6,40,0.87,1.17,0.82,2,1,3,0.9,1.0,0.85,2357,479,2915,76.03,79.83,72.88,1179.0,972.0,6.0,7.5,7.5,0.0,0.0,0.0,1.0,3.0,8.0,0.7467,1200.0,23.0,41.0,48.04,46.0,0.0,0.0,6.0,6.0,5.666666666666667,5.0,6.0,8.0,5.0,6.0,5.0,0.0,6.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,3.5,4.5,5.5,5.5,4.5,6.0,5.5,5.0,4.5,5.0,6.0,5.5,4.5,4.0,5.5,6.0,4.5,6.0,6.5,5.0,6.0,5.0,5.5,4,9,14.89816521897568,-0.1018347810243192
