,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value
107,270,Holding Rob,DC,9.0,9.0,5.22,6.0,5.29,9,2,17,0.44,0.0,0.79,0,0,1,0.22,1.0,0.41,197,180,611,21.89,90.0,35.94,0.0,611.0,7.5,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4172,171.0,0.0,3.0,75.0,1.0,0.0,0.0,0.0,6.0,5.5,6.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.5,0.0,5.5,7.5,5.5,0.0,0.0,0.0,5.0,2,4,9.0,0.0,155.0,Praet Dennis,MO,9.0,9.0,5.22,0.0,5.2,16.0,0.0,22.0,0.6,0.0,0.68,1.0,0.0,1.0,0.31,0.0,0.45,534.0,0.0,1007.0,33.38,0.0,45.77,534.0,1007.0,7.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.7988,305.0,5.0,8.0,42.11,6.0,0.0,0.0,0.0,5.25,5.375,0.0,5.0,0.0,5.5,5.5,5.0,5.0,7.0,5.0,5.0,0.0,0.0,4.5,5.5,0.0,0.0,4.5,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,3.5,6.0,5.0,5.5,5.0,0.0,0.0,0.0,0.0,2.0,8.0,8.36826982119928,-0.6317301788007192,1044.0,Coudert Grégoire,G,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8524506309254027,-0.14754936907459726
108,273,Tete Kenny,DL,9.0,14.0,5.18,5.25,5.18,22,12,22,0.81,1.01,0.81,0,0,0,0.95,1.0,0.95,1853,1054,1853,84.23,87.83,84.23,0.0,0.0,0.0,1000.0,6.0,0.0,0.0,0.0,4.0,2.0,8.0,0.7474,1437.0,31.0,36.0,62.38,31.0,0.0,0.0,6.0,4.0,5.0,4.0,0.0,3.0,5.0,4.5,6.0,6.0,6.0,5.0,5.5,6.0,5.5,6.5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,6.0,5.0,4.5,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,9.0,0.0,159.0,Christie Ryan,MO,8.0,0.0,5.2,6.0,5.2,23.0,1.0,23.0,0.62,0.0,0.62,1.0,0.0,1.0,0.57,0.0,0.57,1169.0,45.0,1169.0,50.83,45.0,50.83,1169.0,1169.0,7.0,8.0,1.5,0.0,0.0,0.0,0.0,0.0,4.0,0.7846,664.0,21.0,19.0,43.08,24.0,0.0,0.0,7.0,5.333333333333333,5.083333333333333,6.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,4.5,5.0,5.5,5.0,5.0,5.0,0.0,0.0,4.5,5.0,5.5,7.0,4.5,6.0,5.0,5.5,6.0,4.5,5.5,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.416669110942863,-1.5833308890571374,1048.0,Pollersbeck Julian,G,7.0,7.0,0.0,0.0,5.5,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,330.0,0.0,0.0,82.5,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,6.0,0.0,0.0,0.0,4.96076035090411,-2.03923964909589
109,274,Zakaria Denis,MD,5.0,5.0,5.17,0.0,5.14,6,0,14,0.26,0.0,0.53,0,0,0,0.67,0.0,0.57,339,0,847,56.5,0.0,60.5,0.0,0.0,0.0,1000.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8883,219.0,3.0,5.0,43.24,4.0,0.0,0.0,0.0,5.0,5.25,0.0,0.0,0.0,5.0,5.5,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,6.0,5.0,5.0,5.0,0.0,1,2,5.0,0.0,160.0,James Dan,MO,8.0,10.0,5.19,5.0,5.04,18.0,2.0,26.0,0.52,0.0,0.72,1.0,0.0,1.0,0.28,0.0,0.46,587.0,35.0,1111.0,32.61,17.5,42.73,587.0,1111.0,6.5,8.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,0.6911,267.0,3.0,6.0,50.0,3.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.5,5.0,6.5,5.0,0.0,0.0,5.0,4.5,5.0,5.0,5.5,5.0,5.0,5.0,5.0,6.5,5.0,0.0,0.0,0.0,6.0,4.5,4.0,3.5,5.5,4.0,6.0,2.0,3.0,6.434901396354102,-1.5650986036458976,1049.0,Pierre Alexandre,G,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8524506309254027,1.8524506309254027
110,275,Gustavo Scarpa,MD,7.0,10.0,5.17,0.0,5.17,6,0,6,0.75,0.0,0.75,0,0,0,0.33,0.0,0.33,179,0,179,29.83,0.0,29.83,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.641,114.0,0.0,2.0,57.69,4.0,0.0,0.0,0.0,4.5,5.25,0.0,4.5,0.0,0.0,0.0,0.0,4.5,0.0,5.5,6.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,7.0,0.0,161.0,Tetê,MO,9.0,12.0,5.19,5.19,5.47,8.0,8.0,34.0,1.07,1.07,1.13,1.0,1.0,9.0,0.88,0.88,0.82,500.0,500.0,2201.0,62.5,62.5,64.74,500.0,245.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6633,260.0,2.0,6.0,50.0,3.0,0.0,0.0,0.0,5.0,5.1875,5.0,5.5,4.5,5.0,4.0,4.5,5.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,7.0,5.5,6.0,5.0,6.0,5.0,5.0,6.0,4.0,8.0,15.840094873099824,6.840094873099824,1050.0,De Percin Théo,G,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8524506309254027,-0.14754936907459726
111,276,Mings Tyrone,DC,12.0,13.0,5.15,5.75,5.09,26,6,38,1.42,1.84,1.33,0,0,0,1.0,1.0,1.0,2340,540,3420,90.0,90.0,90.0,0.0,0.0,0.0,1000.0,9.5,0.0,0.0,0.0,2.0,2.0,1.0,0.8402,1671.0,38.0,3.0,60.48,16.0,0.0,0.0,4.5,6.125,5.277777777777778,6.0,7.5,5.5,5.5,7.5,2.5,0.0,2.5,5.0,5.5,7.0,5.5,4.0,5.5,6.0,3.5,7.0,3.5,3.0,4.5,5.0,6.0,5.5,5.5,6.0,0.0,3.5,5.5,0.0,4.0,4.5,5.5,6.0,5.5,4.5,3.0,4.5,4.0,4,9,12.0,0.0,163.0,Murphy Jacob,MO,12.0,12.0,5.17,5.17,5.15,27.0,27.0,39.0,0.48,0.48,0.45,1.0,1.0,1.0,0.3,0.3,0.28,821.0,821.0,1253.0,30.41,30.41,32.13,821.0,1253.0,7.0,12.0,4.0,0.0,0.0,0.0,1.0,1.0,14.0,0.6996,416.0,3.0,5.0,35.8,7.0,0.0,0.0,5.0,5.375,5.166666666666667,5.5,6.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.0,5.0,4.5,5.0,7.0,6.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.0,6.0,5.0,5.0,4.5,5.0,4.0,9.0,6.970480019996736,-5.029519980003264,1051.0,Boulhendi Teddy,G,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8524506309254027,-0.14754936907459726
112,277,Kamara Boubacar,MD,11.0,15.0,5.15,4.5,5.44,20,1,32,0.8,0.0,0.83,0,0,0,0.95,1.0,0.97,1572,45,2641,78.6,45.0,82.53,0.0,0.0,0.0,1000.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.846,1106.0,17.0,24.0,54.64,25.0,0.0,0.0,0.0,5.0,5.1875,4.5,0.0,0.0,5.5,6.0,5.0,5.0,3.0,6.0,6.5,5.0,6.5,4.5,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,4.5,5.5,5.5,5.0,4.5,6.0,5.0,7.0,5.0,6.0,7.0,5.5,6.0,6.0,2,8,11.0,0.0,164.0,Fornals Pablo,MO,15.0,15.0,5.17,5.0,5.24,23.0,5.0,33.0,0.63,0.71,0.66,1.0,0.0,2.0,0.48,0.0,0.58,1039.0,75.0,1794.0,45.17,15.0,54.36,1039.0,897.0,6.0,15.0,2.0,0.0,0.0,1.0,1.0,2.0,8.0,0.7715,671.0,11.0,9.0,36.63,11.0,0.0,0.0,6.0,4.666666666666667,4.928571428571429,5.0,0.0,5.0,4.0,6.0,5.0,0.0,5.0,0.0,4.5,5.0,0.0,5.0,4.5,4.5,5.0,5.0,5.0,0.0,6.0,6.0,5.0,0.0,5.0,5.5,7.0,5.5,5.5,5.0,4.5,7.0,5.5,5.0,5.0,5.0,5.0,6.0,5.0,3.0,7.0,10.28671890641878,-4.7132810935812195,1054.0,Himeur Thomas,G,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8524506309254027,1.8524506309254027
113,278,Lindelöf Victor,DC,7.0,7.0,5.15,5.0,4.8,10,1,20,1.03,0.0,1.14,0,0,0,0.5,0.0,0.7,546,7,1363,54.6,7.0,68.15,0.0,0.0,0.0,1000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8131,466.0,10.0,6.0,67.5,3.0,0.0,0.0,6.0,5.0,5.666666666666667,5.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,6.0,3.5,0.0,5.0,0.0,0.0,5.5,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.0,3.0,6.0,4.0,5.5,4.5,0.0,3.0,1,3,7.0,0.0,166.0,Saint-Maximin Allan,MO,12.0,13.0,5.16,4.88,4.97,19.0,12.0,30.0,1.07,0.91,1.04,1.0,0.0,1.0,0.53,0.5,0.63,930.0,554.0,1733.0,48.95,46.17,57.77,930.0,1733.0,7.0,12.0,3.5,0.0,0.0,1.0,4.0,5.0,11.0,0.7237,559.0,4.0,3.0,47.58,4.0,0.0,0.0,5.0,5.25,5.055555555555555,7.0,4.5,5.5,4.0,0.0,6.0,5.0,4.5,5.0,4.0,4.5,4.5,4.0,0.0,5.0,4.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,7.0,7.5,5.0,6.0,5.5,5.5,4.0,4.0,6.5,5.0,4.0,3.0,4.5,4.0,9.0,12.942642363274993,0.9426423632749934,1057.0,Pandor Yannick,G,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8524506309254027,-0.14754936907459726
114,279,Wöber Maximilian,DC,9.0,11.0,5.15,0.0,5.15,10,0,10,0.75,0.0,0.75,0,0,0,0.9,0.0,0.9,789,0,789,78.9,0.0,78.9,0.0,0.0,0.0,1000.0,1.5,0.0,0.0,0.0,0.0,1.0,2.0,0.673,527.0,17.0,13.0,58.49,4.0,0.0,0.0,0.0,5.166666666666667,5.055555555555555,0.0,5.5,4.5,5.5,6.0,5.5,4.0,4.0,5.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,9.77,0.7699999999999996,168.0,João Gomes,MO,8.0,8.0,5.13,0.0,5.13,4.0,0.0,4.0,0.95,0.0,0.95,1.0,0.0,1.0,0.25,0.0,0.25,156.0,0.0,156.0,39.0,0.0,39.0,156.0,156.0,6.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7334,125.0,0.0,3.0,54.55,5.0,0.0,0.0,0.0,4.5,5.333333333333333,0.0,4.5,0.0,0.0,0.0,5.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.03605864757903,-1.96394135242097,1063.0,Penneteau Nicolas,G,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8524506309254027,-0.14754936907459726
115,280,Estupiñán Pervis,DL,11.0,14.0,5.15,5.27,5.13,24,15,31,0.91,1.13,0.88,0,0,0,0.88,0.93,0.77,1756,1218,2065,73.17,81.2,66.61,0.0,0.0,0.0,1000.0,8.5,0.0,0.0,0.0,3.0,4.0,20.0,0.8442,1564.0,29.0,23.0,50.79,26.0,0.0,0.0,0.0,5.333333333333333,5.5,4.5,0.0,5.0,6.5,0.0,5.0,7.5,4.5,5.5,5.5,6.0,3.0,5.0,5.0,4.5,7.0,4.5,0.0,5.0,4.5,4.5,5.0,5.5,5.0,5.0,5.0,5.0,0.0,0.0,5.5,4.5,0.0,6.5,5.0,5.0,0.0,0.0,4.0,3,8,11.0,0.0,170.0,Sarabia Pablo,MO,9.0,9.0,5.11,4.25,5.0,9.0,2.0,23.0,0.99,0.35,0.67,1.0,0.0,1.0,0.67,0.0,0.39,563.0,90.0,925.0,62.56,45.0,40.22,563.0,925.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,0.7578,345.0,1.0,5.0,28.07,10.0,0.0,0.0,0.0,4.666666666666667,5.25,4.0,4.5,0.0,5.5,7.0,5.0,6.0,4.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,7.929432115596184,-1.0705678844038156,1064.0,Bonelli Lucas,G,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8524506309254027,1.8524506309254027
116,281,Dendoncker Leander,MD,5.0,0.0,5.14,5.0,5.06,18,1,26,0.76,0.0,0.75,0,0,1,0.28,0.0,0.5,574,3,1285,31.89,3.0,49.42,0.0,1285.0,4.5,1000.0,1.5,0.0,0.0,0.0,0.0,1.0,4.0,0.7301,337.0,15.0,6.0,50.0,1.0,0.0,0.0,5.0,5.0,4.875,5.0,0.0,0.0,0.0,0.0,4.5,0.0,5.0,5.0,0.0,5.0,0.0,4.5,5.0,6.0,3.5,7.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,5.5,6.5,4.5,0.0,4.5,4.0,5.0,4.5,0.0,6.0,4.5,1,4,5.0,0.0,174.0,Aaronson Brenden,MO,10.0,11.0,5.09,5.0,5.09,28.0,7.0,28.0,0.86,0.91,0.86,1.0,0.0,1.0,0.89,0.71,0.89,2099.0,419.0,2099.0,74.96,59.86,74.96,2099.0,2099.0,7.5,10.0,3.5,0.0,0.0,0.0,2.0,4.0,24.0,0.8036,1135.0,4.0,14.0,40.53,13.0,0.0,0.0,5.0,5.25,5.0,4.5,7.0,5.0,4.5,4.5,5.0,4.5,0.0,5.5,4.5,3.5,5.0,4.0,6.0,4.5,5.5,6.0,5.5,5.0,5.0,5.0,5.0,5.5,4.0,6.0,5.0,7.5,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,11.782476837065072,1.7824768370650723,1065.0,Restes Guillaume,G,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8524506309254027,-0.14754936907459726
117,283,Maitland-Niles Ainsley,DL,10.0,10.0,5.13,5.75,5.08,16,2,18,0.79,1.06,0.75,0,0,0,0.56,0.0,0.61,976,75,1079,61.0,37.5,59.94,0.0,0.0,0.0,1000.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8034,635.0,13.0,19.0,64.65,6.0,0.0,0.0,0.0,5.5,5.285714285714286,5.0,6.5,0.0,5.0,4.5,6.0,5.0,0.0,0.0,5.0,0.0,4.5,5.5,5.0,3.5,6.0,0.0,6.0,5.5,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3,7,10.0,0.0,176.0,Ayew Jordan,A,13.0,16.0,5.07,5.07,5.08,29.0,29.0,36.0,0.75,0.75,0.87,1.0,1.0,3.0,0.76,0.76,0.75,1926.0,1926.0,2414.0,66.41,66.41,67.06,1926.0,805.0,6.0,13.0,4.0,0.0,0.0,0.0,2.0,3.0,18.0,0.7721,1077.0,13.0,37.0,45.87,39.0,0.0,0.0,5.0,5.5,5.35,6.5,5.0,5.0,5.5,6.0,6.0,4.5,5.0,5.0,5.0,4.5,7.0,4.0,4.5,6.0,4.5,4.5,4.5,4.5,5.5,5.5,5.0,4.0,5.5,4.5,4.5,5.5,5.5,4.0,0.0,0.0,0.0,4.5,4.5,6.0,5.5,7.5,3.5,4.0,10.0,10.614405672853133,-2.385594327146867,1066.0,Raux Jules,G,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8524506309254027,1.8524506309254027
