,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value
0,223,Begovic Asmir,G,7.0,8.0,7.0,0.0,6.17,1,0,3,0.0,0.0,1.89,0,0,0,1.0,0.0,1.0,90,0,270,90.0,0.0,90.0,0.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.260244678115213,-0.739755321884787
1,224,Dúbravka Martin,G,7.0,8.0,6.5,0.0,5.58,1,0,13,0.0,0.0,1.63,0,0,0,0.0,0.0,0.92,66,0,1146,66.0,0.0,88.15,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.5,2.5,8.0,6.0,6.0,6.5,2.0,6.0,0,1,7.577685079831639,0.5776850798316389
2,225,Leno Bernd,G,16.0,24.0,6.0,6.0,6.0,26,26,27,0.98,0.98,0.96,0,0,0,1.0,1.0,1.0,2340,2340,2430,90.0,90.0,90.0,0.0,0.0,0.0,1000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,25.0,0.0,4.666666666666667,5.611111111111111,5.5,0.0,4.0,4.5,5.0,8.0,6.0,6.0,5.5,6.0,7.0,5.5,6.0,6.0,5.5,7.0,6.0,7.5,5.5,5.0,6.0,5.0,8.0,7.0,6.0,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3,9,14.503573819435267,-1.4964261805647325
3,226,Raya David,G,18.0,24.0,5.84,5.84,5.76,28,28,38,1.23,1.23,1.18,0,0,0,1.0,1.0,1.0,2520,2520,3420,90.0,90.0,90.0,0.0,0.0,0.0,1000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,54.0,5.5,5.625,6.0,7.0,4.5,5.5,5.5,0.0,5.5,6.0,7.0,7.0,6.0,6.0,7.5,6.0,7.0,6.0,6.0,4.0,7.0,8.0,2.0,5.5,4.0,6.0,6.0,5.0,6.0,5.5,7.0,5.0,4.0,6.0,7.0,4.0,5.5,5.5,6.0,6.5,4.5,4,9,16.856436651248906,-1.143563348751094
4,227,Steele Jason,G,13.0,13.0,5.8,5.0,5.8,5,3,5,1.3,1.0,1.3,0,0,0,1.0,1.0,1.0,450,270,450,90.0,90.0,90.0,0.0,0.0,0.0,1000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,5.0,5.0,4.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,11.197810928365424,-1.8021890716345759
5,229,Pope Nick,G,17.0,24.0,5.74,5.74,5.74,27,27,39,1.1,1.1,1.08,0,0,0,1.0,1.0,1.0,2362,2362,3442,87.48,87.48,88.26,0.0,0.0,0.0,1000.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,7.5,5.25,5.0,6.0,5.0,6.0,4.0,0.0,2.5,6.0,4.0,6.0,5.5,7.0,6.0,6.0,6.0,5.5,6.0,6.0,5.5,6.0,6.0,4.5,5.0,0.0,8.0,6.0,6.0,7.0,7.5,6.0,5.5,7.0,4.0,5.5,7.0,6.5,5.0,5.5,6.5,4,9,16.21293191229512,-0.7870680877048812
6,230,Alisson,G,15.0,22.0,5.68,5.68,5.72,28,28,39,1.11,1.11,0.99,0,0,0,1.0,1.0,1.0,2520,2520,3510,90.0,90.0,90.0,0.0,0.0,0.0,1000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,21.0,5.0,5.0,5.388888888888889,3.5,0.0,4.5,7.0,6.0,7.5,6.0,4.0,6.0,4.0,4.5,5.5,6.5,6.0,6.5,5.0,6.0,7.5,8.0,5.0,5.5,6.5,6.0,6.0,5.5,6.0,4.5,5.0,5.0,6.5,5.0,5.0,6.0,5.5,6.0,5.0,6.0,6.0,3,9,15.986387123632085,0.9863871236320847
7,231,Guaita Vicente,G,17.0,19.0,5.65,5.5,5.69,27,1,34,1.26,0.0,1.19,0,0,0,1.0,1.0,1.0,2430,90,3060,90.0,90.0,90.0,0.0,0.0,0.0,1000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,22.0,6.0,5.5,6.0,5.5,0.0,6.0,5.0,6.0,6.0,7.0,5.5,7.5,5.5,2.5,6.5,6.0,5.5,5.0,7.0,3.5,6.0,8.0,6.0,5.0,0.0,5.5,7.5,5.0,3.5,6.0,6.0,4.0,6.5,0.0,0.0,5.5,6.0,0.0,4.0,6.5,6.0,3,9,15.412429832337462,-1.5875701676625376
8,232,Arrizabalaga Kepa,G,14.0,20.0,5.62,5.38,5.62,21,13,21,1.13,1.06,1.13,0,0,0,1.0,1.0,1.0,1845,1170,1845,87.86,90.0,87.86,0.0,0.0,0.0,1000.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,25.0,6.0,4.875,5.3,3.5,4.0,6.0,6.0,4.0,5.0,5.0,6.0,6.5,7.0,5.0,6.0,6.0,0.0,0.0,4.0,6.0,7.0,8.0,6.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,15.897759635288775,1.8977596352887751
9,235,Martínez Emiliano,G,18.0,20.0,5.57,5.73,5.47,27,11,38,1.26,1.68,1.17,0,0,0,1.0,1.0,1.0,2375,990,3365,87.96,90.0,88.55,0.0,0.0,0.0,1000.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,24.0,5.0,6.5,5.75,8.0,6.0,6.0,6.0,7.0,2.5,5.5,3.0,7.5,6.0,5.5,0.0,0.0,5.0,6.0,5.0,7.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,4.5,7.0,6.0,4.0,0.0,5.5,6.0,6.0,6.0,5.0,3.0,5.0,5.0,4,10,16.899511431130485,-1.1004885688695154
