,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10
1328,Kadewere Tinotenda,A,9.0,9.0,4.68,4.64,4.66,11,7,16,0.9,1.14,0.87,1,1,1,0.36,0.57,0.31,426,316,609,38.73,45.14,38.06,426.0,609.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.5617,188.0,0.0,3.0,53.52,4.0,0.0,0.0,5.0,4.375,4.0,5.0,4.0,4.5,3.5,7.0,4.5,0.0,4.5,5.0,0.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,6.0,4.0,4,9
1329,Lirola Pol,DL,2.0,0.0,4.67,0.0,4.75,9,0,20,1.0,0.0,0.7,1,0,1,0.78,0.0,0.5,567,0,926,63.0,0.0,46.3,567.0,926.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.7836,364.0,6.0,6.0,50.85,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,5.0,0.0,0.0,0.0,6.0,3.5,0.0,3.5,0.0,4.0,5.5,0.0,5.0,4.5,5.0,4.0,5.0,4.5,5.0,5.0,5.0,0.0,5.0,0,1
1330,Chumi,DC,9.0,11.0,4.63,4.5,4.63,16,1,16,0.67,0.0,0.67,1,0,1,0.69,1.0,0.69,1105,90,1105,69.06,90.0,69.06,1105.0,1105.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7677,718.0,15.0,10.0,54.55,8.0,0.0,0.0,6.0,4.0,4.5,0.0,4.0,3.5,5.0,4.0,4.0,0.0,0.0,6.0,5.0,0.0,5.5,0.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,4.5,0.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7
1331,Nianzou Tanguy,DC,7.0,9.0,4.62,0.0,4.62,17,0,17,0.93,0.0,0.93,1,0,1,0.88,0.0,0.88,1235,0,1235,72.65,0.0,72.65,1235.0,1235.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8684,871.0,14.0,12.0,70.21,10.0,0.0,0.0,0.0,4.25,0.0,0.0,6.0,2.5,3.5,5.5,5.0,0.0,0.0,0.0,4.0,4.5,0.0,4.0,0.0,0.0,0.0,5.5,5.5,5.5,4.0,5.0,5.0,3.5,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
1332,Fernández Carlos,A,8.0,8.0,4.6,0.0,4.6,15,0,15,0.51,0.0,0.51,1,0,1,0.4,0.0,0.4,405,0,405,27.0,0.0,27.0,405.0,405.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6214,179.0,1.0,3.0,48.19,11.0,0.0,0.0,0.0,5.5,0.0,0.0,6.0,5.0,4.5,4.5,4.5,4.0,4.5,4.5,0.0,0.0,0.0,4.5,5.0,5.0,4.5,4.5,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8
1333,Reinier,MO,6.0,6.0,4.59,2.5,4.59,11,2,11,1.61,3.54,1.61,1,0,1,0.27,0.0,0.27,413,71,413,37.55,35.5,37.55,413.0,413.0,6.5,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6906,204.0,2.0,4.0,43.4,3.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,5.0,6.5,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3
1334,Prats Abdón,A,8.0,0.0,4.58,0.0,4.68,19,0,25,0.58,0.0,0.75,1,0,3,0.05,0.0,0.12,263,0,492,13.84,0.0,19.68,263.0,164.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.5439,122.0,0.0,0.0,22.95,5.0,0.0,0.0,6.0,4.833333333333333,0.0,4.0,6.0,4.5,4.5,4.5,4.0,0.0,0.0,4.0,4.5,6.0,0.0,4.0,4.5,0.0,0.0,4.5,4.0,0.0,0.0,4.5,4.5,5.0,4.5,5.0,4.5,6.0,6.0,0.0,3.5,0.0,6.0,0.0,0.0,0.0,4.0,4.5,3,7
1335,Chust Victor,DC,4.0,0.0,4.58,0.0,4.69,12,0,21,1.0,0.0,0.9,1,0,1,0.75,0.0,0.76,862,0,1495,71.83,0.0,71.19,862.0,1495.0,5.0,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8496,490.0,10.0,6.0,50.0,8.0,0.0,0.0,4.5,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,3.0,0.0,5.0,5.0,5.5,6.0,0.0,3.0,4.0,3.5,5.5,0.0,0.0,4.0,5.0,0.0,3.5,5.0,4.5,5.5,6.0,4.5,1,1
1336,Willian José,A,9.0,15.0,4.55,4.67,4.58,21,6,31,0.35,0.52,0.56,1,1,2,0.1,0.0,0.23,387,50,808,18.43,8.33,26.06,387.0,404.0,5.5,9.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.6917,222.0,0.0,3.0,41.46,3.0,0.0,0.0,4.25,4.375,4.0,4.5,4.5,4.5,5.5,5.0,0.0,0.0,4.5,4.5,4.5,4.5,5.0,4.0,4.5,4.5,0.0,4.0,4.5,4.5,5.0,4.5,4.5,4.5,0.0,0.0,0.0,4.0,4.5,7.0,0.0,4.5,4.0,4.5,4.5,5.0,4.0,0.0,4,8
1337,Duro Hugo,A,9.0,16.0,4.52,4.25,4.52,21,8,28,0.73,0.6,0.71,1,0,2,0.43,0.63,0.5,992,544,1389,47.24,68.0,49.61,992.0,695.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0,2.0,9.0,0.7281,378.0,1.0,7.0,42.07,13.0,0.0,0.0,4.5,4.0,4.0,3.0,4.5,4.5,5.0,4.0,4.5,4.5,0.0,4.5,0.0,4.0,4.5,5.0,5.0,0.0,4.5,0.0,4.0,4.5,4.5,0.0,4.0,7.0,0.0,4.5,5.0,0.0,0.0,4.0,0.0,6.0,0.0,4.5,4.0,4.0,4.5,4.5,4,9
