,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10
0,Haaland Erling,A,48.0,125.0,6.15,0.0,6.15,26,0,26,1.5,0.0,1.5,28,0,28,0.96,0.0,0.96,2118,0,2118,81.46,0.0,81.46,76.0,76.0,4.5,1.71,11.0,5.0,0.0,1.0,5.0,9.0,15.0,0.7655,622.0,2.0,2.0,36.65,27.0,0.0,0.0,7.0,5.25,0.0,0.0,4.5,6.0,7.0,3.5,5.5,4.0,8.0,4.0,4.0,6.0,8.0,4.5,5.5,0.0,7.0,6.0,5.0,6.5,9.0,6.5,6.5,7.0,8.5,8.0,6.0,6.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8
1,Kane Harry,A,52.0,93.0,6.16,6.16,6.24,29,29,42,1.04,1.04,1.15,22,22,31,1.0,1.0,1.0,2596,2596,3766,89.52,89.52,89.67,118.0,121.0,5.0,2.36,10.0,4.0,0.0,2.0,2.0,9.0,26.0,0.7278,1110.0,2.0,8.0,42.62,26.0,0.0,0.0,5.83,6.0,6.0,6.0,7.0,5.0,6.5,6.0,4.0,6.5,7.0,6.0,8.5,5.0,6.0,7.0,6.0,5.0,7.0,4.0,7.0,6.5,5.5,7.0,5.0,7.0,5.5,8.0,6.5,6.5,5.5,8.0,5.0,5.0,6.5,5.0,4.0,8.0,6.5,7.0,4,10
2,Toney Ivan,A,36.0,61.0,5.69,5.44,5.67,26,9,36,1.53,1.26,1.52,17,4,20,1.0,1.0,1.0,2330,801,3230,89.62,89.0,89.72,137.0,162.0,4.0,2.12,7.5,5.0,1.0,2.0,4.0,10.0,24.0,0.621,1080.0,12.0,10.0,45.26,45.0,0.0,0.0,5.5,5.375,7.0,5.0,3.5,6.0,0.0,4.5,7.0,6.0,4.0,6.0,0.0,7.5,6.0,8.0,0.0,4.5,4.0,4.5,7.5,4.0,5.0,3.5,7.5,9.0,5.0,4.0,6.0,7.0,6.0,4.5,4.0,7.0,4.0,5.0,4.5,7.5,7.0,4.5,4,9
3,Rashford Marcus,A,29.0,95.0,5.67,5.67,5.31,27,27,35,1.41,1.41,1.44,14,14,14,0.93,0.93,0.83,2224,2224,2615,82.37,82.37,74.71,159.0,187.0,6.0,2.07,9.5,0.0,0.0,2.0,3.0,4.0,17.0,0.7636,980.0,4.0,9.0,39.55,11.0,0.0,0.0,4.0,4.333333333333333,4.0,0.0,5.5,3.5,0.0,8.0,6.5,7.0,6.0,7.0,7.0,6.0,7.5,5.5,3.5,6.5,4.5,5.5,4.5,6.0,4.0,6.0,5.0,8.5,6.0,5.0,7.0,4.0,3.5,0.0,4.5,0.0,0.0,4.5,4.0,4.0,4.0,2.5,3,8
4,Gabriel Martinelli,MO,25.0,40.0,5.93,5.93,5.76,29,29,42,1.09,1.09,1.17,13,13,15,0.97,0.97,0.88,2353,2353,3207,81.14,81.14,76.36,181.0,214.0,6.0,1.92,14.5,0.0,0.0,1.0,3.0,7.0,38.0,0.8249,1404.0,9.0,11.0,36.67,34.0,0.0,0.0,5.75,6.375,7.0,6.5,7.0,5.0,6.0,6.0,4.0,4.0,5.5,5.5,5.0,7.5,6.5,6.0,5.0,6.0,4.5,4.5,5.0,7.0,7.0,5.5,8.0,4.5,7.0,6.5,6.0,7.0,7.0,8.0,4.5,6.0,6.5,4.0,4.5,4.0,4.5,0.0,4,10
5,Saka Bukayo,A,38.0,73.0,6.19,6.19,6.02,29,29,43,0.96,0.96,1.12,12,12,16,0.97,0.97,0.98,2440,2440,3604,84.14,84.14,83.81,203.0,225.0,6.0,3.17,12.5,2.0,0.0,1.0,10.0,6.0,34.0,0.796,1604.0,13.0,23.0,44.37,31.0,0.0,0.0,6.25,5.875,5.0,8.0,5.0,5.5,5.0,7.5,6.5,5.0,7.5,6.0,5.0,7.0,7.0,5.0,6.0,6.0,4.5,6.0,7.0,8.0,6.5,7.0,7.0,6.0,6.0,6.0,6.5,6.0,6.0,6.0,5.0,4.5,6.5,7.5,5.0,5.0,3.5,7.0,4,10
6,Mohamed Salah Mohamed,A,42.0,71.0,5.36,5.36,5.43,28,28,38,1.5,1.5,1.42,12,12,16,0.96,0.96,0.87,2411,2411,3010,86.11,86.11,79.21,201.0,188.0,6.0,3.5,8.5,0.0,0.0,1.0,7.0,10.0,32.0,0.771,1157.0,5.0,9.0,33.8,14.0,0.0,0.0,6.0,5.833333333333333,6.0,0.0,2.5,9.0,6.0,6.5,7.0,3.0,4.5,3.0,4.5,5.0,7.5,4.0,7.0,6.5,4.0,5.0,6.0,4.5,4.5,4.5,7.0,5.0,6.5,4.5,6.0,4.5,6.0,7.0,0.0,5.0,4.5,6.0,4.5,6.0,4.5,8.0,3,9
7,Almirón Miguel,MO,22.0,39.0,5.76,0.0,5.54,25,0,36,1.07,0.0,1.1,11,0,12,0.96,0.0,0.89,1996,0,2723,79.84,0.0,75.64,181.0,227.0,6.0,2.0,11.0,0.0,0.0,2.0,1.0,2.0,23.0,0.8383,1087.0,7.0,25.0,53.8,17.0,0.0,0.0,5.0,5.25,0.0,0.0,6.5,4.0,0.0,5.0,6.5,4.5,5.0,5.5,5.0,5.0,7.0,6.0,7.0,7.5,7.0,6.0,4.5,7.0,8.0,5.0,0.0,5.0,4.5,5.5,6.0,5.0,6.0,5.0,6.0,3.0,4.0,5.5,5.0,5.5,0.0,7.0,2,7
8,Rodrigo,A,20.0,35.0,5.43,4.83,5.25,22,3,32,1.19,1.04,1.22,11,1,13,0.77,0.0,0.81,1394,72,2166,63.36,24.0,67.69,127.0,167.0,5.0,1.82,2.5,1.0,0.0,1.0,1.0,2.0,18.0,0.7237,624.0,5.0,5.0,34.04,18.0,0.0,0.0,5.5,4.833333333333333,4.5,6.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,6.5,5.0,4.5,7.5,5.0,7.0,6.0,3.5,5.0,5.5,5.0,0.0,5.0,0.0,4.0,5.0,7.0,8.0,6.0,5.0,5.0,4.0,3.0,5.5,3.5,7.0,5.0,6.5,3,5
9,Watkins Ollie,A,33.0,45.0,5.43,5.88,5.35,28,13,40,1.15,0.96,1.13,11,8,15,0.96,1.0,0.98,2329,1066,3380,83.18,82.0,84.5,212.0,225.0,6.0,3.0,9.5,1.0,0.0,1.0,5.0,2.0,21.0,0.6962,789.0,8.0,9.0,38.85,19.0,0.0,0.0,4.5,6.0,6.5,6.0,7.0,4.5,6.5,6.0,6.0,7.0,6.0,4.0,4.5,6.5,6.0,0.0,6.0,3.5,7.0,4.5,3.5,4.5,5.0,4.5,7.0,4.0,4.0,5.0,6.0,6.5,4.5,4.0,6.0,7.0,7.0,5.0,5.0,4.0,6.0,4.0,4,10
10,Mitrovic Aleksandar,A,10.0,45.0,5.29,0.0,5.29,21,0,21,1.6,0.0,1.6,11,0,11,1.0,0.0,1.0,1816,0,1816,86.48,0.0,86.48,165.0,165.0,6.0,0.91,6.5,3.0,0.0,0.0,1.0,5.0,17.0,0.6016,850.0,3.0,7.0,45.18,31.0,0.0,0.0,8.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,4.5,3.5,2.5,6.0,4.0,8.5,0.0,0.0,4.5,6.0,6.0,6.5,0.0,4.0,5.0,0.0,6.5,7.0,6.0,6.5,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6
11,Ødegaard Martin,MO,36.0,52.0,6.36,6.33,6.12,28,21,42,1.11,1.13,1.16,10,6,13,1.0,1.0,1.0,2402,1815,3633,85.79,86.43,86.5,240.0,279.0,6.0,3.6,12.5,0.0,0.0,1.0,7.0,13.0,17.0,0.835,1721.0,4.0,18.0,43.75,24.0,0.0,0.0,5.25,6.75,7.0,6.0,7.0,7.0,5.0,7.5,6.0,5.0,5.5,7.5,5.0,8.0,7.5,8.0,5.5,7.0,5.5,4.0,7.0,6.5,5.5,0.0,7.5,4.5,6.0,7.5,7.5,6.0,6.0,7.5,5.5,6.0,5.0,6.0,5.5,6.0,3.0,6.0,4,10
12,Barnes Harvey,MO,24.0,29.0,5.3,5.3,5.41,27,27,39,1.39,1.39,1.32,10,10,13,0.96,0.96,0.85,2220,2220,2933,82.22,82.22,75.21,222.0,226.0,6.0,2.4,5.5,0.0,0.0,3.0,1.0,3.0,13.0,0.7272,1018.0,7.0,13.0,34.43,31.0,0.0,0.0,5.0,5.0,4.5,6.0,5.0,4.5,4.5,3.5,7.0,7.0,6.0,4.0,4.0,4.5,3.5,7.0,7.0,5.0,7.5,6.5,5.0,5.0,8.0,3.0,6.0,4.5,4.0,6.5,4.0,0.0,0.0,6.0,8.5,5.0,0.0,5.0,5.0,5.0,5.0,5.5,4,10
13,Maddison James,MO,29.0,40.0,5.89,5.75,6.17,22,4,33,1.25,0.87,1.29,9,0,14,0.95,1.0,0.94,1809,358,2730,82.23,89.5,82.73,201.0,195.0,4.5,3.22,3.5,0.0,2.0,3.0,6.0,7.0,17.0,0.7857,1142.0,11.0,18.0,52.76,22.0,0.0,0.0,5.0,5.75,4.5,6.5,6.0,6.0,0.0,4.5,7.5,7.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,5.0,7.5,0.0,6.0,5.0,8.5,6.0,5.0,3.5,5.5,0.0,4.5,6.0,6.0,8.0,8.5,0.0,0.0,5.5,5.0,6.0,7.0,8.0,4,8
14,Foden Phil,MO,33.0,44.0,5.83,0.0,5.83,24,0,33,1.2,0.0,1.15,9,0,11,0.71,0.0,0.76,1408,0,2110,58.67,0.0,63.94,156.0,192.0,6.5,3.67,3.0,0.0,0.0,0.0,4.0,4.0,14.0,0.845,1078.0,5.0,8.0,47.17,7.0,0.0,0.0,6.0,6.75,0.0,0.0,6.0,7.5,8.0,5.0,5.0,0.0,0.0,4.0,5.0,5.0,5.0,6.5,5.0,5.0,5.0,5.0,5.0,7.0,9.0,6.5,0.0,5.0,5.0,6.5,6.0,7.0,6.0,6.0,0.0,6.5,7.5,0.0,6.0,5.0,4.5,7.0,2,6
15,Mac Allister Alexis,MO,24.0,29.0,6.13,6.2,5.96,24,5,35,1.01,1.44,1.02,8,3,9,0.96,1.0,0.97,2069,450,3036,86.21,90.0,86.74,259.0,337.0,6.5,3.0,8.0,5.0,1.0,1.0,1.0,3.0,12.0,0.8711,1602.0,20.0,30.0,56.58,26.0,0.0,0.0,6.0,7.166666666666667,7.0,0.0,6.5,8.0,0.0,4.5,5.0,0.0,5.0,6.5,5.5,0.0,0.0,6.5,6.0,7.0,5.0,5.0,6.0,6.5,6.0,6.0,5.5,8.0,7.0,5.5,8.0,6.0,5.0,7.0,6.5,6.0,7.0,4.5,5.0,5.0,6.0,4.0,3,7
16,Trossard Leandro,MO,25.0,33.0,5.69,5.83,5.76,27,9,36,1.1,1.15,1.1,8,1,12,0.85,0.67,0.89,1870,459,2664,69.26,51.0,74.0,234.0,222.0,6.0,3.13,6.0,0.0,0.0,0.0,9.0,8.0,23.0,0.7787,1096.0,10.0,10.0,38.92,19.0,0.0,0.0,0.0,6.5,6.0,7.0,8.0,5.0,6.0,5.5,6.0,4.5,4.5,0.0,0.0,4.5,5.0,5.0,6.0,7.0,6.0,4.0,5.0,4.0,8.0,0.0,6.0,7.0,5.0,6.0,7.0,5.0,5.5,0.0,5.0,8.0,7.0,5.5,7.0,6.0,5.5,0.0,4,9
17,Roberto Firmino,A,14.0,24.0,5.38,4.83,5.4,21,6,26,1.3,1.08,1.19,8,1,9,0.57,0.0,0.54,1117,115,1350,53.19,19.17,51.92,140.0,150.0,6.0,1.75,3.5,0.0,0.0,0.0,4.0,4.0,8.0,0.7616,723.0,6.0,11.0,38.52,7.0,0.0,0.0,4.0,5.333333333333333,4.5,0.0,4.5,7.0,4.5,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5,5.0,5.5,4.0,5.5,5.5,6.0,7.0,4.5,4.5,5.5,7.0,9.0,4.5,0.0,4.0,6.0,5.5,0.0,0.0,0.0,0.0,4.5,5.5,0.0,3,6
18,Núñez Darwin,A,27.0,44.0,5.27,5.17,5.27,22,3,22,1.3,2.02,1.3,8,2,8,0.77,0.67,0.77,1452,164,1452,66.0,54.67,66.0,182.0,182.0,6.0,3.38,4.0,0.0,0.0,0.0,3.0,10.0,12.0,0.6564,595.0,3.0,4.0,39.88,20.0,0.0,0.0,6.0,5.166666666666667,4.0,0.0,4.0,7.5,0.0,6.0,6.5,4.0,5.0,0.0,3.5,6.0,5.0,7.5,6.5,4.5,0.0,6.5,5.0,6.0,4.0,5.0,6.0,5.0,0.0,0.0,0.0,2.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7
19,Wilson Callum,A,17.0,30.0,5.23,6.0,5.26,20,1,23,1.25,0.0,1.29,8,1,10,0.75,0.0,0.74,1256,10,1457,62.8,10.0,63.35,157.0,146.0,6.0,2.13,8.0,1.0,0.0,2.0,3.0,2.0,10.0,0.7135,348.0,1.0,1.0,37.19,16.0,0.0,0.0,3.5,4.666666666666667,6.0,0.0,4.0,4.0,0.0,4.5,0.0,6.0,4.0,6.0,4.5,4.0,0.0,4.0,4.5,8.0,6.0,5.0,4.5,6.0,6.5,0.0,0.0,0.0,0.0,0.0,6.5,3.5,7.0,7.5,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7
20,Johnson Brennan,A,16.0,21.0,4.95,4.95,4.95,29,29,29,1.3,1.3,1.3,8,8,8,0.93,0.93,0.93,2403,2403,2403,82.86,82.86,82.86,300.0,300.0,5.0,2.0,6.5,1.0,0.0,0.0,2.0,3.0,22.0,0.6314,735.0,3.0,16.0,37.44,31.0,0.0,0.0,5.0,5.875,7.0,4.5,4.5,7.5,3.5,5.0,4.0,7.0,6.0,8.0,6.0,5.0,3.5,6.0,5.0,4.0,4.0,4.5,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.5,6.5,5.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10
21,Ings Danny,A,19.0,29.0,4.87,4.9,4.88,26,21,36,1.19,1.28,1.21,8,7,10,0.46,0.43,0.5,1211,958,1733,46.58,45.62,48.14,151.0,173.0,6.0,2.38,4.0,2.0,0.0,0.0,0.0,1.0,11.0,0.7265,410.0,3.0,8.0,41.84,11.0,0.0,0.0,0.0,4.0,4.5,0.0,4.5,3.0,7.0,4.5,4.5,4.5,5.0,4.0,7.0,4.5,4.5,7.5,4.5,3.0,7.5,5.0,5.0,4.5,4.5,4.0,0.0,0.0,4.5,4.0,4.5,6.0,4.5,4.5,4.0,7.0,7.0,0.0,3.5,3.5,0.0,4.5,3,9
22,Mitoma Kaoru,MO,20.0,28.0,6.14,6.36,6.14,22,11,22,1.07,1.1,1.07,7,6,7,0.68,1.0,0.68,1447,970,1447,65.77,88.18,65.77,207.0,207.0,6.0,2.86,7.0,0.0,0.0,2.0,4.0,7.0,20.0,0.7935,928.0,9.0,19.0,52.63,13.0,0.0,0.0,5.5,7.0,6.0,0.0,7.0,8.0,0.0,4.0,6.0,7.0,7.5,6.0,7.0,6.0,5.5,0.0,8.0,7.0,0.0,0.0,5.5,5.0,5.5,6.5,7.0,0.0,5.0,5.0,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8
23,March Solly,MO,22.0,27.0,5.89,5.89,5.66,27,27,37,1.29,1.29,1.21,7,7,7,1.0,1.0,0.95,2339,2339,3029,86.63,86.63,81.86,334.0,433.0,7.0,3.14,10.0,0.0,0.0,1.0,5.0,14.0,31.0,0.7755,1529.0,21.0,26.0,50.35,39.0,0.0,0.0,5.5,6.833333333333333,7.0,0.0,7.0,6.5,0.0,6.0,8.0,5.5,5.0,8.0,8.0,3.5,8.0,4.5,6.0,6.0,4.5,5.0,5.0,5.0,5.0,7.0,7.0,5.5,3.5,5.5,6.0,5.5,5.5,6.0,5.0,6.0,5.0,5.0,5.0,0.0,5.0,3.5,3,8
24,Gabriel Jesus,A,8.0,10.0,5.65,5.17,5.72,17,3,25,1.21,1.61,1.42,7,2,13,0.88,0.33,0.84,1323,98,1862,77.82,32.67,74.48,189.0,143.0,6.0,1.14,8.0,1.0,0.0,0.0,5.0,5.0,15.0,0.8217,817.0,8.0,18.0,42.81,26.0,0.0,0.0,6.0,5.166666666666667,7.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,4.0,0.0,4.0,6.0,7.0,6.5,0.0,5.0,6.0,5.0,6.0,8.0,5.0,4.5,6.0,4.5,7.0,9.5,0.0,7.0,4.0,4.5,3,3
25,Ward-Prowse James,MO,29.0,35.0,5.45,5.45,5.4,29,29,40,1.18,1.18,1.29,7,7,11,1.0,1.0,1.0,2610,2610,3600,90.0,90.0,90.0,373.0,327.0,5.5,4.14,3.5,1.0,3.0,3.0,2.0,7.0,22.0,0.839,2037.0,38.0,25.0,46.15,29.0,0.0,0.0,3.5,6.0,5.5,6.5,7.0,5.0,5.5,8.0,5.0,4.0,5.5,8.0,5.5,5.5,5.5,6.5,3.5,4.0,4.5,5.5,5.5,3.5,5.5,4.5,3.5,6.0,5.0,5.5,7.0,5.5,6.0,5.5,4.5,4.5,6.0,8.0,5.5,2.0,7.5,5.0,4,10
26,Havertz Kai,MO,17.0,24.0,5.04,5.16,5.0,28,16,38,0.98,1.04,1.01,7,5,10,0.89,0.88,0.84,2163,1267,2757,77.25,79.19,72.55,309.0,276.0,5.0,2.43,7.0,1.0,0.0,0.0,1.0,4.0,19.0,0.8083,1132.0,7.0,15.0,41.14,53.0,0.0,0.0,5.25,5.875,5.0,6.0,7.0,5.5,4.5,5.5,4.0,3.0,5.0,5.0,5.0,4.0,7.0,5.0,5.0,6.0,0.0,4.5,5.5,6.0,5.0,4.5,5.5,6.0,4.0,4.0,3.0,5.5,5.0,6.5,5.0,4.5,4.0,4.0,0.0,6.5,3.0,0.0,4,10
27,Groß Pascal,MO,18.0,28.0,5.67,5.67,5.57,27,27,38,1.09,1.09,1.17,6,6,8,1.0,1.0,0.92,2366,2366,3140,87.63,87.63,82.63,394.0,393.0,6.5,3.0,10.0,0.0,0.0,0.0,5.0,13.0,33.0,0.8224,1922.0,12.0,23.0,41.57,22.0,0.0,0.0,5.0,5.5,4.0,0.0,5.5,7.0,0.0,5.5,6.0,5.5,4.0,5.5,7.5,6.0,5.5,4.0,6.5,6.5,5.0,5.0,4.5,5.5,4.5,5.5,7.0,7.0,4.0,7.0,7.0,5.0,7.0,7.5,5.0,8.0,5.0,5.0,6.0,5.0,5.0,3.5,3,8
28,Isak Alexander,A,13.0,16.0,5.59,5.67,5.28,11,6,23,0.83,0.98,0.97,6,3,9,0.73,0.83,0.78,702,419,1540,63.82,69.83,66.96,117.0,171.0,5.5,2.17,2.5,2.0,0.0,0.0,0.0,0.0,8.0,0.7197,277.0,1.0,5.0,41.35,8.0,0.0,0.0,0.0,6.125,6.0,7.0,6.5,5.0,0.0,5.0,4.5,0.0,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,5.0,4.0,4.0,4.5,4.5,7.0,4,8
29,Billing Philip,MD,13.0,15.0,5.57,5.81,5.57,28,8,28,1.09,1.19,1.09,6,2,6,0.93,1.0,0.93,2139,644,2139,76.39,80.5,76.39,357.0,357.0,6.5,2.17,6.5,0.0,0.0,1.0,1.0,4.0,13.0,0.7738,1108.0,27.0,31.0,55.65,26.0,0.0,0.0,7.0,6.25,6.0,4.5,7.0,7.5,4.0,5.5,5.5,6.5,0.0,5.0,4.0,5.0,5.0,6.0,6.5,5.5,4.5,5.5,6.5,7.0,5.5,7.0,4.5,7.0,4.5,5.0,3.5,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9
30,Son Heung-Min,MO,37.0,49.0,5.52,5.58,5.91,27,13,40,1.2,1.3,1.4,6,3,19,0.89,0.85,0.93,2114,989,3209,78.3,76.08,80.22,352.0,169.0,6.5,6.17,8.0,0.0,0.0,2.0,4.0,5.0,19.0,0.7952,1010.0,9.0,9.0,40.43,11.0,0.0,0.0,5.5,6.125,5.0,6.5,7.5,5.5,4.5,6.5,3.5,6.0,5.5,4.0,8.0,5.0,5.0,0.0,0.0,6.0,4.5,4.5,6.0,6.5,4.5,8.0,4.0,6.0,4.5,5.0,5.0,5.0,7.0,8.0,5.5,7.0,8.0,5.0,4.0,8.5,8.0,8.0,4,10
31,Álvarez Julián,A,13.0,17.0,5.26,6.0,5.26,21,2,21,1.29,1.41,1.29,6,1,6,0.33,0.5,0.33,826,122,826,39.33,61.0,39.33,138.0,138.0,7.0,2.17,3.0,0.0,0.0,0.0,0.0,2.0,17.0,0.7324,397.0,1.0,8.0,38.14,15.0,0.0,0.0,4.5,6.0,7.0,0.0,5.0,0.0,7.5,4.5,5.0,4.0,4.5,0.0,0.0,4.5,0.0,5.0,7.0,4.5,4.5,0.0,4.5,4.5,4.5,5.0,7.0,0.0,8.5,5.0,0.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7
32,Daniel Podence,MO,16.0,19.0,5.19,5.33,5.3,27,3,32,0.95,1.04,0.97,6,1,7,0.67,0.67,0.66,1553,171,1878,57.52,57.0,58.69,259.0,268.0,6.0,2.67,3.5,0.0,0.0,0.0,0.0,2.0,16.0,0.6908,875.0,6.0,17.0,38.5,25.0,0.0,0.0,3.5,5.333333333333333,6.5,4.5,5.0,0.0,4.5,5.0,0.0,4.5,5.0,6.5,7.0,5.0,6.0,5.5,4.5,6.5,3.5,5.5,5.0,3.5,5.0,4.0,5.0,6.5,5.5,5.0,5.0,4.0,6.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.5,6.0,3,8
33,Zaha Wilfried,A,17.0,32.0,5.15,4.63,5.4,24,4,34,1.22,0.63,1.24,6,0,11,1.0,1.0,0.97,2069,315,2898,86.21,78.75,85.24,345.0,263.0,6.0,2.83,4.5,0.0,0.0,1.0,2.0,3.0,21.0,0.8134,1078.0,15.0,18.0,43.11,30.0,0.0,0.0,6.25,4.625,5.5,4.5,4.5,4.0,0.0,0.0,0.0,0.0,5.0,4.0,3.5,6.0,3.5,3.0,7.0,6.0,3.5,7.0,4.5,5.5,5.0,5.0,5.5,5.0,6.5,0.0,7.5,6.0,6.0,7.0,4.0,6.0,6.5,7.0,5.5,6.0,7.5,4.5,4,6
34,De Bruyne Kevin,MO,42.0,59.0,6.42,6.17,6.6,26,3,36,1.0,1.61,1.07,5,1,13,0.88,0.67,0.92,2034,166,2872,78.23,55.33,79.78,407.0,221.0,7.0,8.4,10.0,0.0,1.0,3.0,13.0,25.0,27.0,0.7976,1588.0,6.0,10.0,46.43,19.0,0.0,0.0,6.25,6.166666666666667,8.0,0.0,5.0,5.5,0.0,6.0,5.5,5.5,7.0,5.5,6.0,5.5,6.0,5.0,7.5,7.0,7.0,8.0,5.5,7.0,7.0,7.0,0.0,7.0,5.5,5.5,7.0,8.5,7.0,7.0,5.5,8.0,0.0,7.0,9.0,7.0,7.0,6.0,3,8
35,Bruno Fernandes,MO,39.0,55.0,6.1,6.21,5.79,26,12,36,1.33,1.39,1.45,5,2,6,1.0,1.0,1.0,2338,1079,3232,89.92,89.92,89.78,468.0,539.0,7.0,7.8,11.0,1.0,0.0,1.0,6.0,20.0,22.0,0.7574,1671.0,16.0,33.0,44.19,33.0,0.0,0.0,6.0,4.333333333333333,4.0,0.0,5.5,3.5,0.0,8.5,7.0,7.0,5.5,7.0,7.0,6.5,6.5,6.5,0.0,6.0,5.5,8.0,6.5,5.5,3.5,5.5,8.0,7.0,6.0,7.0,6.5,4.0,5.0,3.5,5.0,4.5,8.0,4.0,6.0,6.0,6.0,4.0,3,8
36,Xhaka Granit,MD,22.0,25.0,5.9,5.9,5.66,29,29,43,0.91,0.91,0.97,5,5,6,0.97,0.97,0.98,2386,2386,3619,82.28,82.28,84.16,477.0,603.0,6.5,4.4,12.5,0.0,0.0,0.0,5.0,5.0,12.0,0.8606,1645.0,13.0,21.0,53.3,20.0,0.0,0.0,4.75,6.125,7.0,7.0,5.5,5.0,5.5,5.5,5.5,4.5,6.5,7.0,5.5,6.0,7.0,5.0,6.0,6.0,7.0,4.5,5.5,5.0,7.0,7.0,7.0,4.5,4.5,5.0,6.5,6.5,6.5,4.5,4.5,6.0,4.5,7.0,6.0,4.5,5.0,6.0,4,10
37,Bentancur Rodrigo,MD,1.0,22.0,5.81,0.0,5.76,18,0,31,0.93,0.0,1.39,5,0,5,0.94,0.0,0.97,1504,0,2524,83.56,0.0,81.42,301.0,505.0,6.0,0.2,6.0,0.0,0.0,1.0,2.0,0.0,4.0,0.8472,1122.0,20.0,28.0,53.01,24.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.5,5.5,0.0,0.0,0.0,0.0,7.0,6.0,7.0,6.0,4.5,5.5,5.5,4.5,8.0,4.5,5.5,0.0,6.0,6.0,5.0,6.5,8.5,6.0,6.0,6.0,5.5,5.0,6.0,6.0,6.0,0,3
38,Mahrez Riyad,MO,18.0,27.0,5.75,7.0,5.61,20,1,28,1.14,0.0,1.23,5,0,8,0.65,1.0,0.64,1153,90,1617,57.65,90.0,57.75,231.0,202.0,6.0,3.6,4.0,1.0,0.0,0.0,5.0,6.0,21.0,0.8835,902.0,5.0,7.0,52.07,8.0,0.0,0.0,4.25,7.0,7.0,0.0,0.0,0.0,5.0,0.0,7.0,4.5,6.0,4.5,6.0,6.5,7.0,0.0,0.0,0.0,5.0,5.5,0.0,7.0,4.5,5.0,8.5,4.5,6.0,5.0,0.0,6.0,4.5,5.0,4.0,0.0,0.0,4.5,4.5,4.5,0.0,7.0,1,6
39,Rúben Neves,MD,24.0,26.0,5.61,5.58,5.54,28,19,36,1.16,1.23,1.2,5,4,6,1.0,1.0,1.0,2485,1675,3082,88.75,88.16,85.61,497.0,514.0,6.0,4.8,6.0,2.0,0.0,2.0,0.0,1.0,10.0,0.8433,2144.0,41.0,36.0,53.21,28.0,0.0,0.0,5.0,5.625,5.0,6.0,5.5,6.0,5.5,6.0,6.5,8.0,3.5,7.0,6.0,4.0,5.5,4.5,6.0,7.0,3.0,5.0,6.0,0.0,4.0,4.5,5.0,6.0,6.0,7.5,6.5,5.5,6.0,4.5,5.0,5.0,4.5,0.0,4.0,0.0,0.0,4.5,4,10
