,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI
128,4.69,0.0,4.54,24,0,28,0.69,1,0,1,0.5,0.0,0.54,1112,0,1327,46.33,0.0,47.39,1112.0,1327.0,7.0,4.25,4.428571428571429,0.0,0.0,4.5,4.0,4.0,4.5,0.0,4.5,4.5,5.0,5.0,4.0,4.5,4.0,5.0,2,7,0.0,0.0,0.0,1.0,1.0,9.0,0.7608,425.0,4.0,7.0,28.57,14.0,0.0,0.0,3.5
129,4.69,0.0,4.67,18,0,29,0.64,1,0,1,0.5,0.0,0.52,711,0,1260,39.5,0.0,43.45,711.0,1260.0,6.0,6.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,5.5,4.5,0.0,4.0,1,4,0.0,0.0,0.0,1.0,1.0,2.0,0.7584,287.0,1.0,6.0,31.46,12.0,0.0,0.0,4.5
130,4.64,5.5,4.64,7,2,7,0.85,1,1,1,0.14,0.0,0.14,123,24,123,17.57,12.0,17.57,123.0,123.0,6.5,5.5,4.666666666666667,4.5,6.5,0.0,0.0,4.0,4.5,4.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.6492,54.0,0.0,0.0,40.91,0.0,0.0,0.0,0.0
131,4.63,0.0,4.4,12,0,21,0.68,1,0,1,0.17,0.0,0.38,287,0,865,23.92,0.0,41.19,287.0,865.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.4659,127.0,1.0,1.0,40.32,2.0,0.0,0.0,6.0
132,4.54,0.0,4.83,12,0,24,0.75,1,0,7,0.33,0.0,0.54,438,0,1165,36.5,0.0,48.54,438.0,166.0,6.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,5.0,3.5,4.0,4.5,0.0,4.0,0,3,0.0,0.0,0.0,0.0,0.0,3.0,0.6947,131.0,2.0,0.0,23.08,4.0,0.0,0.0,0.0
133,4.5,0.0,4.76,28,0,35,0.61,1,0,6,0.43,0.0,0.46,1352,0,1757,48.29,0.0,50.2,1352.0,293.0,7.0,4.333333333333333,4.388888888888889,0.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.5,4.5,4.0,4.5,4.5,3,9,0.0,0.0,0.0,4.0,1.0,11.0,0.5258,342.0,2.0,4.0,35.51,20.0,0.0,0.0,4.0
134,4.47,0.0,4.47,16,0,16,0.46,1,0,1,0.06,0.0,0.06,269,0,269,16.81,0.0,16.81,269.0,269.0,6.0,4.0,4.6,0.0,4.0,0.0,0.0,4.5,0.0,0.0,4.0,6.0,4.5,4.5,4.5,4.5,4.5,4.5,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.3972,127.0,0.0,1.0,45.76,10.0,0.0,0.0,4.5
135,4.43,0.0,4.37,20,0,27,0.75,1,0,1,0.5,0.0,0.52,946,0,1355,47.3,0.0,50.19,946.0,1355.0,7.0,4.0,4.333333333333333,0.0,0.0,4.0,4.0,4.0,5.0,4.5,4.5,0.0,0.0,4.5,4.0,5.0,3.5,4.5,2,6,0.0,0.0,0.0,0.0,0.0,6.0,0.7158,366.0,3.0,5.0,38.66,11.0,0.0,0.0,3.5
136,4.36,0.0,4.5,11,0,20,1.0,1,0,3,0.82,0.0,0.8,735,0,1340,66.82,0.0,67.0,735.0,447.0,6.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,4.0,3.5,4.5,0.0,0.0,4.5,0,3,0.0,0.0,0.0,0.0,1.0,3.0,0.6473,252.0,1.0,1.0,42.64,12.0,0.0,0.0,4.0
137,5.5,0.0,5.5,12,0,12,0.56,0,0,0,0.75,0.0,0.75,719,0,719,59.92,0.0,59.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.0,2.0,7.0,0.8137,315.0,1.0,5.0,43.02,8.0,0.0,0.0,5.5
138,5.5,0.0,5.5,1,0,1,0.0,0,0,0,0.0,0.0,0.0,10,0,10,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,12.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0
139,5.35,5.44,5.68,10,9,38,1.08,0,0,7,1.0,1.0,0.79,798,713,2621,79.8,79.22,68.97,0.0,374.0,6.0,5.5,5.444444444444445,5.5,4.5,7.0,5.0,3.5,5.0,6.5,5.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0,0.0,0.0,3.0,3.0,4.0,0.6128,375.0,9.0,9.0,45.93,5.0,0.0,0.0,0.0
140,5.33,5.25,5.33,9,8,9,0.83,0,0,0,1.0,1.0,1.0,804,714,804,89.33,89.25,89.33,0.0,0.0,0.0,5.0,5.25,4.0,5.0,6.5,4.5,5.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,0.0,0.0,0.0,2.0,2.0,1.0,0.8805,891.0,10.0,19.0,51.96,6.0,0.0,0.0,0.0
141,5.25,4.0,5.25,6,1,6,0.94,0,0,0,0.67,1.0,0.67,364,90,364,60.67,90.0,60.67,0.0,0.0,0.0,4.25,5.2,4.0,0.0,0.0,4.5,0.0,6.5,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,0.0,0.0,0.0,0.0,1.0,1.0,0.8055,256.0,5.0,7.0,47.73,5.0,0.0,0.0,0.0
142,5.22,5.22,5.21,27,27,38,0.58,0,0,0,0.74,0.74,0.82,1706,1706,2691,63.19,63.19,70.82,0.0,0.0,0.0,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.0,6.0,5.5,5.5,6.0,6.0,5.0,6.0,4.5,4.5,4,10,0.0,0.0,0.0,2.0,3.0,9.0,0.8275,1194.0,18.0,30.0,48.19,30.0,0.0,0.0,4.5
143,5.19,0.0,5.19,8,0,8,0.53,0,0,0,0.13,0.0,0.13,187,0,187,23.38,0.0,23.38,0.0,0.0,0.0,5.333333333333333,5.071428571428571,0.0,5.0,5.0,6.0,0.0,4.5,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3,7,0.0,0.0,0.0,1.0,2.0,2.0,0.5099,108.0,1.0,1.0,54.55,3.0,0.0,0.0,0.0
144,5.11,5.0,5.05,9,2,21,0.42,0,0,1,0.0,0.0,0.29,115,12,656,12.78,6.0,31.24,0.0,656.0,6.5,5.333333333333333,5.25,5.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3,4,0.0,0.0,0.0,1.0,2.0,0.0,0.828,85.0,0.0,1.0,25.0,1.0,0.0,0.0,5.0
145,5.1,5.5,5.1,5,1,5,0.65,0,0,0,0.8,1.0,0.8,290,86,290,58.0,86.0,58.0,0.0,0.0,0.0,5.5,5.25,5.5,0.0,0.0,0.0,0.0,5.0,0.0,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,1.0,0.0,1.0,0.6406,142.0,0.0,4.0,46.15,2.0,0.0,0.0,0.0
146,5.08,5.0,4.99,26,2,36,0.72,0,0,1,0.85,1.0,0.83,1795,124,2503,69.04,62.0,69.53,0.0,2503.0,6.0,4.833333333333333,4.875,4.5,5.5,0.0,4.5,5.0,5.5,0.0,4.5,4.5,5.0,4.0,5.5,5.0,4.0,4.5,3,8,0.0,0.0,0.0,1.0,3.0,6.0,0.6912,851.0,18.0,20.0,41.59,30.0,0.0,0.0,5.0
147,5.08,5.25,5.08,13,2,13,0.28,0,0,0,0.08,0.0,0.08,187,51,187,14.38,25.5,14.38,0.0,0.0,0.0,5.25,5.0,5.0,5.5,0.0,0.0,0.0,5.0,4.5,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,2,5,0.0,0.0,0.0,0.0,1.0,6.0,0.5603,161.0,3.0,5.0,49.06,4.0,0.0,0.0,0.0
148,5.06,5.0,5.1,17,5,21,0.61,0,0,0,0.29,0.8,0.24,586,299,647,34.47,59.8,30.81,0.0,0.0,0.0,5.125,4.928571428571429,5.0,5.0,4.0,6.5,0.0,4.5,0.0,5.0,0.0,4.5,0.0,0.0,0.0,0.0,5.5,4,7,0.0,0.0,0.0,0.0,3.0,2.0,0.746,350.0,7.0,13.0,43.37,10.0,0.0,0.0,0.0
149,5.05,0.0,5.0,11,0,14,0.35,0,0,0,0.09,0.0,0.14,223,0,329,20.27,0.0,23.5,0.0,0.0,0.0,4.833333333333333,5.0,0.0,4.5,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.5,5.5,5.0,0.0,0.0,0.0,3,5,0.0,0.0,0.0,0.0,0.0,4.0,0.8683,174.0,4.0,6.0,52.94,1.0,0.0,0.0,5.0
150,5.04,4.0,5.04,23,1,23,0.4,0,0,0,0.04,0.0,0.04,475,21,475,20.65,21.0,20.65,0.0,0.0,0.0,4.0,4.625,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.0,5.0,5.5,5.0,5.5,5.0,5.0,1,4,0.0,0.0,0.0,0.0,3.0,3.0,0.8103,510.0,2.0,4.0,54.39,5.0,0.0,0.0,5.0
151,5.04,0.0,5.05,13,0,22,0.69,0,0,0,0.46,0.0,0.45,569,0,1007,43.77,0.0,45.77,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,4.5,0.0,5.0,4.5,5.0,7.0,5.0,5.5,0.0,5.5,0.0,0,5,0.0,0.0,0.0,1.0,4.0,5.0,0.6926,447.0,4.0,10.0,48.28,11.0,0.0,0.0,5.0
152,5.03,4.95,5.03,19,10,19,0.39,0,0,0,0.21,0.1,0.21,446,148,446,23.47,14.8,23.47,0.0,0.0,0.0,4.666666666666667,4.944444444444445,4.5,0.0,5.0,4.5,5.0,5.5,4.5,5.5,5.0,5.0,5.0,0.0,5.0,5.0,6.0,3,9,0.0,0.0,0.0,0.0,0.0,2.0,0.7613,274.0,3.0,8.0,52.38,5.0,0.0,0.0,0.0
153,5.03,0.0,5.28,19,0,32,0.92,0,0,6,0.47,0.0,0.69,749,0,1906,39.42,0.0,59.56,0.0,318.0,6.0,5.333333333333333,5.0625,0.0,5.0,7.0,4.0,6.0,5.5,4.5,0.0,4.0,4.5,0.0,0.0,0.0,5.0,0.0,3,8,0.0,0.0,0.0,3.0,1.0,6.0,0.7744,392.0,5.0,14.0,41.32,10.0,0.0,0.0,4.5
154,5.0,0.0,5.0,4,0,4,0.41,0,0,0,0.0,0.0,0.0,58,0,58,14.5,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5166,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,5.0,0.0,4.82,8,0,14,0.27,0,0,0,0.38,0.0,0.5,311,0,598,38.88,0.0,42.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.7314,159.0,0.0,2.0,61.9,3.0,0.0,0.0,0.0
