,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value
0,0,Haaland Erling,A,48.0,125.0,6.15,0.0,6.15,26,0,26,1.5,0.0,1.5,28,0,28,0.96,0.0,0.96,2118,0,2118,81.46,0.0,81.46,76.0,76.0,4.5,1.71,11.0,5.0,0.0,1.0,5.0,9.0,15.0,0.7655,622.0,2.0,2.0,36.65,27.0,0.0,0.0,7.0,5.25,5.3125,0.0,0.0,4.5,6.0,7.0,3.5,5.5,4.0,8.0,4.0,4.0,6.0,8.0,4.5,5.5,0.0,7.0,6.0,5.0,6.5,9.0,6.5,6.5,7.0,8.5,8.0,6.0,6.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,45.90346450734194,-2.096535492658063
1,1,Kane Harry,A,52.0,93.0,6.16,6.16,6.24,29,29,42,1.04,1.04,1.15,22,22,31,1.0,1.0,1.0,2596,2596,3766,89.52,89.52,89.67,118.0,121.0,5.0,2.36,10.0,4.0,0.0,2.0,2.0,9.0,26.0,0.7278,1110.0,2.0,8.0,42.62,26.0,0.0,0.0,5.83,6.0,6.0,6.0,6.0,7.0,5.0,6.5,6.0,4.0,6.5,7.0,6.0,8.5,5.0,6.0,7.0,6.0,5.0,7.0,4.0,7.0,6.5,5.5,7.0,5.0,7.0,5.5,8.0,6.5,6.5,5.5,8.0,5.0,5.0,6.5,5.0,4.0,8.0,6.5,7.0,4,10,52.34327128225427,0.34327128225427117
2,2,Toney Ivan,A,36.0,61.0,5.69,5.44,5.67,26,9,36,1.53,1.26,1.52,17,4,20,1.0,1.0,1.0,2330,801,3230,89.62,89.0,89.72,137.0,162.0,4.0,2.12,7.5,5.0,1.0,2.0,4.0,10.0,24.0,0.621,1080.0,12.0,10.0,45.26,45.0,0.0,0.0,5.5,5.375,5.444444444444445,7.0,5.0,3.5,6.0,0.0,4.5,7.0,6.0,4.0,6.0,0.0,7.5,6.0,8.0,0.0,4.5,4.0,4.5,7.5,4.0,5.0,3.5,7.5,9.0,5.0,4.0,6.0,7.0,6.0,4.5,4.0,7.0,4.0,5.0,4.5,7.5,7.0,4.5,4,9,39.42520199855369,3.425201998553689
3,3,Rashford Marcus,A,29.0,95.0,5.67,5.67,5.31,27,27,35,1.41,1.41,1.44,14,14,14,0.93,0.93,0.83,2224,2224,2615,82.37,82.37,74.71,159.0,187.0,6.0,2.07,9.5,0.0,0.0,2.0,3.0,4.0,17.0,0.7636,980.0,4.0,9.0,39.55,11.0,0.0,0.0,4.0,4.333333333333333,5.9375,4.0,0.0,5.5,3.5,0.0,8.0,6.5,7.0,6.0,7.0,7.0,6.0,7.5,5.5,3.5,6.5,4.5,5.5,4.5,6.0,4.0,6.0,5.0,8.5,6.0,5.0,7.0,4.0,3.5,0.0,4.5,0.0,0.0,4.5,4.0,4.0,4.0,2.5,3,8,28.761794578387445,-0.2382054216125553
4,4,Gabriel Martinelli,MO,25.0,40.0,5.93,5.93,5.76,29,29,42,1.09,1.09,1.17,13,13,15,0.97,0.97,0.88,2353,2353,3207,81.14,81.14,76.36,181.0,214.0,6.0,1.92,14.5,0.0,0.0,1.0,3.0,7.0,38.0,0.8249,1404.0,9.0,11.0,36.67,34.0,0.0,0.0,5.75,6.375,5.65,7.0,6.5,7.0,5.0,6.0,6.0,4.0,4.0,5.5,5.5,5.0,7.5,6.5,6.0,5.0,6.0,4.5,4.5,5.0,7.0,7.0,5.5,8.0,4.5,7.0,6.5,6.0,7.0,7.0,8.0,4.5,6.0,6.5,4.0,4.5,4.0,4.5,0.0,4,10,33.971412562343794,8.971412562343794
5,5,Saka Bukayo,A,38.0,73.0,6.19,6.19,6.02,29,29,43,0.96,0.96,1.12,12,12,16,0.97,0.97,0.98,2440,2440,3604,84.14,84.14,83.81,203.0,225.0,6.0,3.17,12.5,2.0,0.0,1.0,10.0,6.0,34.0,0.796,1604.0,13.0,23.0,44.37,31.0,0.0,0.0,6.25,5.875,6.1,5.0,8.0,5.0,5.5,5.0,7.5,6.5,5.0,7.5,6.0,5.0,7.0,7.0,5.0,6.0,6.0,4.5,6.0,7.0,8.0,6.5,7.0,7.0,6.0,6.0,6.0,6.5,6.0,6.0,6.0,5.0,4.5,6.5,7.5,5.0,5.0,3.5,7.0,4,10,35.34180663963626,-2.6581933603637395
6,6,Mohamed Salah Mohamed,A,42.0,71.0,5.36,5.36,5.43,28,28,38,1.5,1.5,1.42,12,12,16,0.96,0.96,0.87,2411,2411,3010,86.11,86.11,79.21,201.0,188.0,6.0,3.5,8.5,0.0,0.0,1.0,7.0,10.0,32.0,0.771,1157.0,5.0,9.0,33.8,14.0,0.0,0.0,6.0,5.833333333333333,5.277777777777778,6.0,0.0,2.5,9.0,6.0,6.5,7.0,3.0,4.5,3.0,4.5,5.0,7.5,4.0,7.0,6.5,4.0,5.0,6.0,4.5,4.5,4.5,7.0,5.0,6.5,4.5,6.0,4.5,6.0,7.0,0.0,5.0,4.5,6.0,4.5,6.0,4.5,8.0,3,9,32.302093669723185,-9.697906330276815
7,7,Almirón Miguel,MO,22.0,39.0,5.76,0.0,5.54,25,0,36,1.07,0.0,1.1,11,0,12,0.96,0.0,0.89,1996,0,2723,79.84,0.0,75.64,181.0,227.0,6.0,2.0,11.0,0.0,0.0,2.0,1.0,2.0,23.0,0.8383,1087.0,7.0,25.0,53.8,17.0,0.0,0.0,5.0,5.25,5.285714285714286,0.0,0.0,6.5,4.0,0.0,5.0,6.5,4.5,5.0,5.5,5.0,5.0,7.0,6.0,7.0,7.5,7.0,6.0,4.5,7.0,8.0,5.0,0.0,5.0,4.5,5.5,6.0,5.0,6.0,5.0,6.0,3.0,4.0,5.5,5.0,5.5,0.0,7.0,2,7,24.83749437644346,2.837494376443459
8,8,Rodrigo,A,20.0,35.0,5.43,4.83,5.25,22,3,32,1.19,1.04,1.22,11,1,13,0.77,0.0,0.81,1394,72,2166,63.36,24.0,67.69,127.0,167.0,5.0,1.82,2.5,1.0,0.0,1.0,1.0,2.0,18.0,0.7237,624.0,5.0,5.0,34.04,18.0,0.0,0.0,5.5,4.833333333333333,4.8,4.5,6.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,4.5,6.5,5.0,4.5,7.5,5.0,7.0,6.0,3.5,5.0,5.5,5.0,0.0,5.0,0.0,4.0,5.0,7.0,8.0,6.0,5.0,5.0,4.0,3.0,5.5,3.5,7.0,5.0,6.5,3,5,23.712187058073837,3.7121870580738374
9,9,Watkins Ollie,A,33.0,45.0,5.43,5.88,5.35,28,13,40,1.15,0.96,1.13,11,8,15,0.96,1.0,0.98,2329,1066,3380,83.18,82.0,84.5,212.0,225.0,6.0,3.0,9.5,1.0,0.0,1.0,5.0,2.0,21.0,0.6962,789.0,8.0,9.0,38.85,19.0,0.0,0.0,4.5,6.0,5.95,6.5,6.0,7.0,4.5,6.5,6.0,6.0,7.0,6.0,4.0,4.5,6.5,6.0,0.0,6.0,3.5,7.0,4.5,3.5,4.5,5.0,4.5,7.0,4.0,4.0,5.0,6.0,6.5,4.5,4.0,6.0,7.0,7.0,5.0,5.0,4.0,6.0,4.0,4,10,30.596619315523775,-2.4033806844762253
10,10,Mitrovic Aleksandar,A,10.0,45.0,5.29,0.0,5.29,21,0,21,1.6,0.0,1.6,11,0,11,1.0,0.0,1.0,1816,0,1816,86.48,0.0,86.48,165.0,165.0,6.0,0.91,6.5,3.0,0.0,0.0,1.0,5.0,17.0,0.6016,850.0,3.0,7.0,45.18,31.0,0.0,0.0,8.0,4.0,3.9166666666666665,0.0,0.0,4.0,4.0,0.0,0.0,5.0,4.5,3.5,2.5,6.0,4.0,8.5,0.0,0.0,4.5,6.0,6.0,6.5,0.0,4.0,5.0,0.0,6.5,7.0,6.0,6.5,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,21.98656282725988,11.986562827259881
11,11,Ødegaard Martin,MO,36.0,52.0,6.36,6.33,6.12,28,21,42,1.11,1.13,1.16,10,6,13,1.0,1.0,1.0,2402,1815,3633,85.79,86.43,86.5,240.0,279.0,6.0,3.6,12.5,0.0,0.0,1.0,7.0,13.0,17.0,0.835,1721.0,4.0,18.0,43.75,24.0,0.0,0.0,5.25,6.75,6.35,7.0,6.0,7.0,7.0,5.0,7.5,6.0,5.0,5.5,7.5,5.0,8.0,7.5,8.0,5.5,7.0,5.5,4.0,7.0,6.5,5.5,0.0,7.5,4.5,6.0,7.5,7.5,6.0,6.0,7.5,5.5,6.0,5.0,6.0,5.5,6.0,3.0,6.0,4,10,35.13035595913116,-0.8696440408688417
12,12,Barnes Harvey,MO,24.0,29.0,5.3,5.3,5.41,27,27,39,1.39,1.39,1.32,10,10,13,0.96,0.96,0.85,2220,2220,2933,82.22,82.22,75.21,222.0,226.0,6.0,2.4,5.5,0.0,0.0,3.0,1.0,3.0,13.0,0.7272,1018.0,7.0,13.0,34.43,31.0,0.0,0.0,5.0,5.0,5.2,4.5,6.0,5.0,4.5,4.5,3.5,7.0,7.0,6.0,4.0,4.0,4.5,3.5,7.0,7.0,5.0,7.5,6.5,5.0,5.0,8.0,3.0,6.0,4.5,4.0,6.5,4.0,0.0,0.0,6.0,8.5,5.0,0.0,5.0,5.0,5.0,5.0,5.5,4,10,25.585253152298257,1.5852531522982574
13,13,Maddison James,MO,29.0,40.0,5.89,5.75,6.17,22,4,33,1.25,0.87,1.29,9,0,14,0.95,1.0,0.94,1809,358,2730,82.23,89.5,82.73,201.0,195.0,4.5,3.22,3.5,0.0,2.0,3.0,6.0,7.0,17.0,0.7857,1142.0,11.0,18.0,52.76,22.0,0.0,0.0,5.0,5.75,5.875,4.5,6.5,6.0,6.0,0.0,4.5,7.5,7.0,5.0,0.0,0.0,0.0,0.0,6.0,8.0,5.0,7.5,0.0,6.0,5.0,8.5,6.0,5.0,3.5,5.5,0.0,4.5,6.0,6.0,8.0,8.5,0.0,0.0,5.5,5.0,6.0,7.0,8.0,4,8,28.94575857718089,-0.054241422819110596
14,14,Foden Phil,MO,33.0,44.0,5.83,0.0,5.83,24,0,33,1.2,0.0,1.15,9,0,11,0.71,0.0,0.76,1408,0,2110,58.67,0.0,63.94,156.0,192.0,6.5,3.67,3.0,0.0,0.0,0.0,4.0,4.0,14.0,0.845,1078.0,5.0,8.0,47.17,7.0,0.0,0.0,6.0,6.75,5.916666666666667,0.0,0.0,6.0,7.5,8.0,5.0,5.0,0.0,0.0,4.0,5.0,5.0,5.0,6.5,5.0,5.0,5.0,5.0,5.0,7.0,9.0,6.5,0.0,5.0,5.0,6.5,6.0,7.0,6.0,6.0,0.0,6.5,7.5,0.0,6.0,5.0,4.5,7.0,2,6,24.527967497509692,-8.472032502490308
15,15,Mac Allister Alexis,MO,24.0,29.0,6.13,6.2,5.96,24,5,35,1.01,1.44,1.02,8,3,9,0.96,1.0,0.97,2069,450,3036,86.21,90.0,86.74,259.0,337.0,6.5,3.0,8.0,5.0,1.0,1.0,1.0,3.0,12.0,0.8711,1602.0,20.0,30.0,56.58,26.0,0.0,0.0,6.0,7.166666666666667,6.071428571428571,7.0,0.0,6.5,8.0,0.0,4.5,5.0,0.0,5.0,6.5,5.5,0.0,0.0,6.5,6.0,7.0,5.0,5.0,6.0,6.5,6.0,6.0,5.5,8.0,7.0,5.5,8.0,6.0,5.0,7.0,6.5,6.0,7.0,4.5,5.0,5.0,6.0,4.0,3,7,24.481143723301088,0.4811437233010878
16,16,Trossard Leandro,MO,25.0,33.0,5.69,5.83,5.76,27,9,36,1.1,1.15,1.1,8,1,12,0.85,0.67,0.89,1870,459,2664,69.26,51.0,74.0,234.0,222.0,6.0,3.13,6.0,0.0,0.0,0.0,9.0,8.0,23.0,0.7787,1096.0,10.0,10.0,38.92,19.0,0.0,0.0,0.0,6.5,5.833333333333333,6.0,7.0,8.0,5.0,6.0,5.5,6.0,4.5,4.5,0.0,0.0,4.5,5.0,5.0,6.0,7.0,6.0,4.0,5.0,4.0,8.0,0.0,6.0,7.0,5.0,6.0,7.0,5.0,5.5,0.0,5.0,8.0,7.0,5.5,7.0,6.0,5.5,0.0,4,9,27.138091128408355,2.1380911284083552
