,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,Cleansheet,Pass decis.,Occas° créée,Passes,Ballons,Fautes,But évité,Action stoppée,DMI
83,4.9,0.0,4.9,5,0,5,1.85,0.8,0.0,0.8,407,0,407,81.4,0.0,81.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0
84,4.83,4.38,4.94,26,8,35,1.21,1.0,1.0,1.0,2259,720,2991,86.88,90.0,85.46,0.0,0.0,4.375,4.375,5.5,4.0,4.0,4.0,6.5,4.0,3.0,4.0,0.0,0.0,2.0,4.5,4.0,7.5,5.0,4,8,2.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,6.0
85,4.83,0.0,5.3,3,0,10,1.53,0.67,0.0,0.9,225,0,855,75.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
86,4.82,0.0,4.54,19,0,23,1.45,1.0,0.0,1.0,1710,0,2070,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,5.0,4.0,2.5,0,0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,24.0,0.0
87,4.82,4.8,5.02,22,10,27,0.89,1.0,1.0,1.0,1980,900,2430,90.0,90.0,90.0,0.0,0.0,4.75,4.8,5.5,4.0,4.5,5.0,6.0,6.0,4.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,4,10,0.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,5.0
88,4.75,0.0,4.75,2,0,2,1.06,0.5,0.0,0.5,135,0,135,67.5,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
89,4.69,4.75,4.8,21,14,33,1.24,1.0,1.0,1.0,1890,1260,2970,90.0,90.0,90.0,0.0,0.0,4.0,4.5,5.5,4.0,4.0,2.5,4.0,5.0,6.0,6.0,5.0,3.0,5.0,6.0,6.0,4.5,0.0,4,10,2.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,0.0
90,4.17,0.0,4.67,3,0,6,1.26,1.0,0.0,0.83,270,0,528,90.0,0.0,88.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,4.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91,0.0,0.0,5.88,0,0,4,0.0,0.0,0.0,1.0,0,0,289,0.0,0.0,72.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
92,0.0,0.0,5.5,0,0,7,0.0,0.0,0.0,1.0,0,0,630,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
