,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,Titu_4,Titu_10,Cleansheet,Pass decis.,Occas° créée,Passes,Ballons,Fautes,But évité,Action stoppée,DMI
17,5.26,5.17,5.34,31,24,41,1.3,1.0,1.0,1.0,2790,2160,3690,90.0,90.0,90.0,0.0,0.0,5.375,5.25,6.0,4.0,7.0,4.5,6.0,6.0,5.0,4.5,6.0,3.5,6.0,4.0,5.0,3.5,5.5,4,10,7.0,0.0,0.0,0.0,0.0,0.0,76.0,32.0,5.5
18,5.25,4.5,5.1,8,1,15,1.28,0.88,0.0,0.93,675,45,1305,84.38,45.0,87.0,0.0,0.0,4.5,5.357142857142857,4.5,0.0,0.0,0.0,5.0,7.0,5.5,6.5,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1,7,2.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0
19,5.25,0.0,5.25,18,0,18,1.93,1.0,0.0,1.0,1620,0,1620,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.5,0,0,6.0,0.0,0.0,0.0,0.0,0.0,40.0,14.0,8.0
20,5.17,5.3,5.17,6,5,6,0.98,1.0,1.0,1.0,540,450,540,90.0,90.0,90.0,0.0,0.0,5.5,5.3,5.5,4.0,6.5,6.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0
21,5.16,4.5,5.34,25,4,34,1.37,1.0,1.0,1.0,2205,315,3015,88.2,78.75,88.68,0.0,0.0,4.5,4.5,2.5,4.0,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,7.0,3.0,4,4,7.0,0.0,0.0,0.0,0.0,0.0,37.0,42.0,6.5
22,5.14,5.14,5.2,32,32,40,1.49,1.0,1.0,1.0,2880,2880,3600,90.0,90.0,90.0,0.0,0.0,3.125,4.65,5.0,1.5,2.5,3.5,7.0,5.0,5.5,6.0,6.0,4.5,4.5,6.0,5.0,4.0,8.0,4,10,5.0,0.0,0.0,0.0,0.0,0.0,62.0,25.0,3.5
23,5.13,5.0,5.23,23,1,32,1.07,1.0,1.0,1.0,2070,90,2880,90.0,90.0,90.0,0.0,0.0,5.0,4.333333333333333,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.5,6.0,4.0,6.0,5.0,3.5,1,3,6.0,0.0,0.0,0.0,0.0,0.0,34.0,13.0,6.0
24,5.11,0.0,4.97,9,0,19,1.19,0.89,0.0,0.95,765,0,1665,85.0,0.0,87.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,5.0
25,5.08,5.08,5.1,30,30,39,0.86,1.0,1.0,1.0,2700,2700,3510,90.0,90.0,90.0,0.0,0.0,5.0,5.0625,0.0,6.0,4.5,4.5,0.0,5.0,6.0,5.0,4.0,5.5,5.0,5.5,4.0,6.0,4.5,3,8,10.0,0.0,0.0,0.0,0.0,0.0,26.0,13.0,5.0
26,5.02,0.0,5.06,26,0,27,1.43,1.0,0.0,1.0,2340,0,2430,90.0,0.0,90.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,4.0,7.0,4.5,4.0,6.0,5.0,4.5,4.0,4.5,6.0,0,5,6.0,0.0,0.0,0.0,0.0,0.0,51.0,25.0,6.5
