,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10
469,1179,Léo Baptistão Leo,A,11.0,15.0,5.06,4.72,5.06,25,9,25,1.04,0.71,1.04,4,1,4,0.84,0.89,0.84,1525,567,1525,61.0,63.0,61.0,381.0,381.0,6.0,2.75,4.5,0.0,0.0,0.0,1.0,1.0,5.0,0.6686,721.0,17.0,17.0,42.39,28.0,0.0,0.0,7.0,5.0,4.722222222222222,5.0,6.0,5.0,4.0,4.5,4.5,4.0,5.5,4.0,0.0,4.5,7.0,5.0,4.0,0.0,6.0,7.0,4.0,6.0,3.5,7.0,4.5,6.5,5.0,0.0,0.0,5.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9
470,1180,Depay Memphis,A,10.0,24.0,5.0,0.0,5.06,9,0,17,1.15,0.0,1.1,4,0,6,0.56,0.0,0.59,373,0,783,41.44,0.0,46.06,93.0,131.0,6.0,2.5,2.0,0.0,0.0,1.0,0.0,1.0,5.0,0.7802,244.0,0.0,1.0,34.62,4.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,3.5,4.5,7.0,0.0,5.0,6.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,4.5,5.0,7.0,5.0,6.5,0.0,3.5,0.0,0,5
471,1181,Lamela Erik,MO,14.0,15.0,5.0,5.38,5.03,25,4,32,0.76,0.48,0.73,4,0,5,0.56,0.25,0.59,1393,92,1784,55.72,23.0,55.75,348.0,357.0,6.0,3.5,4.0,0.0,0.0,0.0,0.0,2.0,24.0,0.7941,846.0,4.0,18.0,35.87,51.0,0.0,0.0,5.75,5.375,5.357142857142857,5.0,5.0,5.5,6.0,0.0,6.5,0.0,4.5,5.0,0.0,4.0,0.0,5.0,4.5,4.5,5.5,5.5,4.5,4.0,6.0,6.0,4.5,5.5,4.0,0.0,6.0,3.5,4.5,5.0,5.0,6.0,0.0,4.5,5.0,5.0,0.0,6.0,5.0,4,7
472,1182,Ansu Fati,A,15.0,16.0,4.95,4.93,4.91,28,7,33,0.9,0.73,0.87,4,1,5,0.39,0.43,0.33,1101,243,1219,39.32,34.71,36.94,275.0,244.0,6.0,3.75,8.5,0.0,0.0,1.0,3.0,1.0,8.0,0.8062,679.0,3.0,8.0,37.4,14.0,0.0,0.0,5.0,5.125,4.9375,4.5,4.5,5.0,6.5,4.5,4.5,5.0,0.0,5.0,0.0,4.0,4.5,4.5,4.5,5.0,4.0,4.5,6.0,4.5,4.0,7.0,4.5,4.5,5.5,4.5,6.0,4.0,5.0,7.5,5.0,4.0,4.5,4.5,6.0,4.5,0.0,0.0,0.0,4,8
473,1183,Torres Ferran,MO,13.0,13.0,4.83,5.09,4.84,27,11,37,0.94,1.02,0.94,4,2,4,0.44,0.55,0.59,1187,555,1963,43.96,50.45,53.05,297.0,491.0,6.0,3.25,8.0,0.0,0.0,0.0,1.0,7.0,13.0,0.7887,735.0,1.0,6.0,47.1,15.0,0.0,0.0,3.0,5.375,5.15,6.0,4.0,4.5,7.0,4.5,5.0,4.0,5.5,6.5,4.5,4.5,0.0,0.0,4.5,2.5,4.0,4.5,5.0,5.0,6.0,5.5,6.0,4.5,4.5,4.0,4.5,4.5,4.0,5.5,0.0,5.0,5.0,4.5,5.0,6.0,6.0,3.5,5.5,4,10
474,1184,Rafa Mir,A,12.0,17.0,4.82,5.33,4.81,19,3,27,0.93,1.44,0.9,4,1,6,0.58,0.33,0.44,885,71,1116,46.58,23.67,41.33,221.0,186.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.728,290.0,3.0,2.0,38.37,9.0,0.0,0.0,6.0,5.333333333333333,5.0,7.0,4.5,4.5,0.0,0.0,0.0,4.5,0.0,4.5,0.0,0.0,4.0,4.5,4.0,6.0,5.0,6.5,5.0,4.0,4.5,5.0,0.0,0.0,0.0,4.5,0.0,0.0,4.0,3.5,6.0,6.0,4.5,4.0,5.0,0.0,4.5,3.5,6.0,3,5
475,1185,Budimir Ante,A,9.0,14.0,4.72,4.71,4.91,25,7,34,1.02,1.5,1.08,4,2,9,0.68,0.57,0.74,1401,375,2125,56.04,53.57,62.5,350.0,236.0,6.0,2.25,7.0,0.0,0.0,0.0,0.0,1.0,4.0,0.6147,473.0,3.0,4.0,41.6,37.0,0.0,0.0,6.0,4.875,4.722222222222222,8.0,4.0,4.0,3.5,4.5,4.5,4.5,0.0,5.0,4.5,6.5,4.5,5.0,4.0,3.0,0.0,4.5,4.5,5.0,0.0,6.0,4.5,0.0,4.5,4.0,5.0,4.0,4.5,6.0,0.0,4.0,3.5,4.5,6.5,6.0,6.5,6.0,6.0,4,9
476,1186,Tsygankov Viktor,MO,14.0,14.0,5.82,5.82,5.82,11,11,11,1.19,1.19,1.19,3,3,3,0.82,0.82,0.82,792,792,792,72.0,72.0,72.0,264.0,264.0,8.0,4.67,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.7284,422.0,7.0,4.0,45.76,6.0,0.0,0.0,0.0,5.25,5.95,5.0,6.0,5.0,5.0,8.0,5.5,6.0,6.0,8.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10
477,1188,Dani Rodríguez,MO,13.0,22.0,5.46,5.0,5.31,27,1,36,0.82,0.0,0.87,3,0,3,0.78,0.0,0.75,1655,16,2161,61.3,16.0,60.03,552.0,720.0,7.0,4.33,9.5,0.0,0.0,0.0,3.0,2.0,11.0,0.7444,811.0,15.0,16.0,39.45,39.0,0.0,0.0,5.0,4.75,5.4375,5.0,0.0,0.0,4.5,4.5,5.5,5.5,6.5,7.5,4.5,6.0,5.0,7.0,4.5,6.0,4.5,0.0,6.0,5.0,6.0,5.5,5.0,5.0,5.5,5.0,5.0,5.5,7.0,5.0,5.5,5.5,5.0,5.5,3.0,5.0,6.0,4.0,5.0,2,8
478,1189,Pino Yeremy,A,21.0,21.0,5.41,5.5,5.3,28,1,32,0.81,0.0,0.82,3,0,3,0.82,1.0,0.81,1793,66,2011,64.04,66.0,62.84,598.0,670.0,6.5,7.0,11.0,0.0,0.0,0.0,3.0,7.0,22.0,0.7683,961.0,14.0,28.0,45.76,50.0,0.0,0.0,5.5,5.5,5.666666666666667,5.5,0.0,5.0,6.0,7.0,6.5,6.0,5.0,6.0,4.0,4.0,5.0,5.5,4.5,6.5,5.5,5.5,4.5,5.0,4.5,4.5,5.5,5.0,0.0,5.5,5.5,6.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,4.5,5.0,3,9
