,index,Joueur,Poste,Cote,Enchère moy,Note,Note série,Note 1 an,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,Titu,Titu série,Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Corner gagné,Passes,Ballons,Interceptions,Tacles,Duel,Fautes,But évité,Action stoppée,DMI,moy_j,moy_j_10,j-1,j-2,j-3,j-4,j-5,j-6,j-7,j-8,j-9,j-10,j-11,j-12,j-13,j-14,j-15,j-16,j-17,j-18,j-19,j-20,j-21,j-22,j-23,j-24,j-25,j-26,j-27,j-28,j-29,j-30,j-31,j-32,j-33,j-34,j-35,j-36,j-37,j-38,Titu_4,Titu_10,cote_predite,+/- value
750,1913,Djuric Milan,A,8.0,0.0,4.69,4.5,4.87,21,3,30,0.68,0.0,0.82,1,0,2,0.38,0.0,0.57,860,99,1611,40.95,33.0,53.7,860.0,806.0,6.5,8.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.4375,446.0,1.0,1.0,69.37,21.0,0.0,0.0,6.0,4.5,4.5,4.5,4.5,4.5,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.5,6.0,6.5,4.5,4.5,0.0,4.5,4.0,5.0,4.0,4.0,4.5,0.0,0.0,0.0,4.0,4.5,4.5,3.5,6.0,5.0,6.0,7.0,5.5,4.5,3,5,9.368080536943074,1.368080536943074
751,1914,Faraoni Marco,MO,9.0,11.0,4.68,5.06,4.73,17,8,24,0.97,1.05,0.9,1,1,2,0.88,1.0,0.92,1102,619,1640,64.82,77.38,68.33,1102.0,820.0,5.0,9.0,1.0,0.0,0.0,0.0,3.0,2.0,5.0,0.6425,613.0,12.0,16.0,44.64,14.0,0.0,0.0,0.0,5.25,5.055555555555555,7.0,5.0,4.5,4.5,5.0,5.0,6.0,3.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.5,4.5,5.0,0.0,0.0,0.0,0.0,4.5,0.0,5.0,3.5,4.0,0.0,6.0,5.0,4.5,5.5,4.0,4,9,9.938387251685798,0.9383872516857981
752,1915,Muriel Luis,A,10.0,15.0,4.66,4.78,5.07,22,9,30,0.9,0.26,1.29,1,0,6,0.36,0.22,0.47,850,271,1397,38.64,30.11,46.57,850.0,233.0,6.5,10.0,3.0,1.0,0.0,0.0,2.0,5.0,14.0,0.7202,610.0,2.0,5.0,39.73,13.0,0.0,0.0,8.5,4.75,4.777777777777778,4.5,4.5,5.0,5.0,5.0,4.5,4.5,5.0,5.0,0.0,2.0,4.5,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.0,5.0,7.0,6.0,4.0,4.0,0.0,0.0,5.0,5.0,4.0,0.0,4.0,7.0,5.5,8.0,5.0,6.5,4,9,11.373883234097542,1.3738832340975424
753,1916,Ibrahimovic Zlatan,A,9.0,9.0,4.63,0.0,4.72,4,0,9,0.48,0.0,0.57,1,0,1,0.25,0.0,0.11,144,0,233,36.0,0.0,25.89,144.0,233.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.702,74.0,0.0,0.0,47.37,2.0,0.0,0.0,0.0,0.0,4.625,0.0,0.0,0.0,0.0,5.0,5.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,4.5,6.0,0.0,0.0,0,4,4.717463459233141,-4.282536540766859
754,1920,Nicolussi Caviglia Hans,MO,5.0,5.0,4.61,0.0,4.61,9,0,9,0.93,0.0,0.93,1,0,1,0.67,0.0,0.67,539,0,539,59.89,0.0,59.89,539.0,539.0,4.5,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7505,289.0,5.0,7.0,49.15,11.0,0.0,0.0,4.0,4.75,4.875,0.0,4.5,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,2.5,5.5,4.0,4.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,7.451670429126561,2.451670429126561
755,1921,Solbakken Ola,MO,8.0,8.0,4.61,3.5,4.61,9,1,9,0.89,0.0,0.89,1,0,1,0.33,1.0,0.33,255,64,255,28.33,64.0,28.33,255.0,255.0,6.5,8.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6169,141.0,1.0,1.0,30.95,4.0,0.0,0.0,0.0,4.333333333333333,4.642857142857143,3.5,0.0,4.0,5.5,4.5,0.0,0.0,4.0,6.5,4.5,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,7.544247114851527,-0.4557528851484731
756,1922,Lasagna Kevin,A,9.0,0.0,4.6,4.8,4.65,26,5,33,0.55,0.27,0.57,1,0,2,0.65,0.8,0.58,1574,339,1866,60.54,67.8,56.55,1574.0,933.0,5.0,9.0,1.5,0.0,0.0,0.0,2.0,2.0,9.0,0.6136,541.0,5.0,6.0,30.41,25.0,0.0,0.0,0.0,4.75,4.555555555555555,5.0,5.0,4.5,4.5,5.0,0.0,4.5,4.0,4.5,4.0,4.0,5.5,4.5,4.5,0.0,0.0,6.0,5.5,5.0,4.0,4.5,0.0,0.0,4.5,4.0,4.0,5.0,4.5,4.0,4.0,5.0,6.0,4.5,4.5,5.0,4.0,5.0,5.0,4,9,10.466974582827927,1.4669745828279268
757,1923,Agustín Álvarez Martínez,A,7.0,0.0,4.6,4.5,4.6,20,1,20,0.64,0.0,0.64,1,0,1,0.05,0.0,0.05,318,17,318,15.9,17.0,15.9,318.0,318.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.8252,166.0,2.0,3.0,37.5,8.0,0.0,0.0,4.5,4.75,4.625,4.5,0.0,5.0,0.0,0.0,0.0,4.5,0.0,4.5,0.0,4.5,4.5,4.0,4.0,4.0,4.5,4.5,0.0,4.5,4.5,0.0,4.5,4.0,6.5,6.0,4.5,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,6.719325220250903,-0.2806747797490967
758,1924,Gyasi Emmanuel,A,9.0,9.0,4.59,4.75,4.7,28,10,35,0.69,0.49,0.81,1,0,3,1.0,1.0,1.0,2264,777,2881,80.86,77.7,82.31,2264.0,960.0,6.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,0.8048,956.0,8.0,11.0,30.33,37.0,0.0,0.0,4.0,4.625,4.75,5.0,4.0,4.5,5.0,4.5,5.0,4.0,5.5,5.0,5.0,0.0,4.0,4.0,5.0,5.0,6.0,4.5,0.0,0.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.5,4.0,4.0,3.5,5.5,0.0,7.0,3.5,5.0,4.5,5.0,5.0,4,10,11.912276940269834,2.912276940269834
759,1925,Gaich Adolfo,A,9.0,9.0,4.59,4.59,4.59,11,11,11,0.8,0.8,0.8,1,1,1,0.64,0.64,0.64,581,581,581,52.82,52.82,52.82,581.0,581.0,6.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.5365,246.0,2.0,3.0,40.16,16.0,0.0,0.0,0.0,5.0,4.65,6.0,4.0,6.0,4.0,5.0,5.0,4.0,4.5,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,8.998725036652413,-0.0012749633475870326
